Complexity,Loss,Equation
1,0.013454342,"-0.0060006967"
2,0.008491336,"x2 * 0.18997547"
3,0.0014531546,"x2 + x0"
4,0.0014182746,"(x0 * 0.9814794) + x2"
5,0.00010825716,"x0 + (x2 - x1)"
6,5.0002516e-5,"((x0 + x2) * 1.0670314) - x1"
7,4.8121874e-5,"(x0 + (x2 - (x1 * 0.9070273))) * 1.0633721"
9,3.848208e-5,"(((x0 * 0.096953146) + 1.0811986) * (x0 + x2)) - x1"
10,3.6264664e-5,"(((x0 * 0.09844775) + 1.0774252) * (x0 + x2)) - (x1 * 0.9614231)"
11,3.608767e-5,"(((x0 + x2) * ((x0 * 0.11441949) + 1.0845282)) - x1) - -0.0016655556"
12,3.3519704e-5,"((x2 + ((x0 + 0.004417499) - (x2 * (x2 * 0.029877072)))) * 1.0847415) - x1"
13,3.291285e-5,"((((x0 + 0.00430002) - (x2 * (x2 * 0.02910156))) + x2) * 1.0821824) - (x1 * 0.9798403)"
14,3.1719035e-5,"(((x0 + 0.0051158844) + (x2 - (x2 * (0.029943103 * (x2 + 0.1523399))))) * 1.094885) - x1"
15,3.107368e-5,"((x0 + ((x2 - ((x2 * 0.030735152) * ((x1 * 3.5413663) + x2))) + 0.0045477473)) * 1.0878242) - x1"
16,2.9322317e-5,"(((((x2 + x0) * 1.126449) - x1) + 0.005328031) * 0.9617784) - (((x1 * 4.893206) + x2) * (x0 * -0.044832464))"
17,2.8483379e-5,"((x2 + (x0 - (((x2 * 0.03099649) * ((x2 + 0.17999989) + (x1 * 3.9037924))) + -0.0054277666))) * 1.1007037) - x1"
18,2.758127e-5,"(((((x2 + x0) * 1.1272101) - (((x2 + 0.15441276) + (x1 * 4.820464)) * (x2 * 0.033726368))) + 0.0057781143) - x1) * 0.97184294"
20,2.70349e-5,"(((((x2 - (((x1 + x2) * 0.03030623) * ((x2 + (x1 * 3.904063)) + 0.16372196))) + 0.005422988) + x0) * 1.1350155) - x1) * 0.9661204"
