Complexity,Loss,Equation
1,0.42979306,"0.001963073"
2,0.00011952511,"x1 * -16.237232"
4,0.00011720843,"(x1 + 9.374611e-5) * -16.237381"
5,0.00010901556,"(-16.271551 - (x0 * 0.28624174)) * x1"
7,9.820416e-5,"x1 * (-16.18646 - (x0 * (x0 + 0.35220718)))"
8,9.793209e-5,"x1 * (-16.172625 - (((x0 - -0.31162867) * x0) * 1.1652141))"
9,9.5745134e-5,"((-16.184855 - ((x0 + 0.3368989) * x0)) * x1) + -0.0015753225"
10,8.911187e-5,"(-16.21967 - ((x2 + (x0 * 1.8269378)) * (x0 + 0.55376214))) * x1"
11,8.196258e-5,"x1 * (-16.20062 - (((x0 + 0.38727078) * 3.9073339) * (x0 + (x2 * 0.6791247))))"
12,8.182496e-5,"(-16.159891 - ((x0 * ((x0 + 0.46720952) * 11.293748)) * (x0 + (x2 * 0.680167)))) * x1"
13,7.889799e-5,"x1 * (-16.151007 - (((((x2 - x1) * 0.6971546) + x0) * 6.970203) * (x0 + 0.23407046)))"
14,7.272536e-5,"x1 * (-16.092607 - (((x2 * 0.6865645) + (x0 - x1)) * ((x0 * (x0 + 0.6593522)) * 13.5520935)))"
16,7.122541e-5,"x1 * (-16.092607 - (((x2 * 0.6865645) + (x0 - x1)) * (((x0 * (x0 + 0.6593522)) * 13.270784) - -0.28130913)))"
17,7.0809285e-5,"x1 * (-16.16172 - (x1 + (((x1 + (x0 + 0.22795442)) * (((x2 * 0.6985123) - x1) + x0)) * 6.889323)))"
18,7.03208e-5,"(x1 * ((-11.991888 - (x1 + ((x0 + ((x2 * 0.67962044) - x1)) * ((x0 + 0.17553107) * 6.955733)))) * 1.3415352)) - 0.001054654"
19,6.776573e-5,"(-16.161484 - (((((x0 + (x2 * 0.69339764)) - x1) * 6.883666) * ((x0 + 0.23737943) + x1)) + x1)) * (x1 - -0.00011539618)"
20,6.689476e-5,"x1 * (-16.174015 - (x1 + ((((x2 * 0.70511997) - x1) + x0) * ((x1 + ((x0 + 0.21918371) * (x0 - -0.7825445))) * 6.890431))))"
