0	1.3002e-02	1.2591e-02
1	1.3102e-02	---
2	1.3503e-02	---
3	1.2914e-02	---
4	1.2934e-02	---
5	1.3067e-02	---
6	1.2786e-02	---
7	1.2652e-02	---
8	1.2735e-02	---
9	1.2681e-02	---
10	1.2503e-02	---
11	1.2436e-02	---
12	1.2468e-02	---
13	1.2373e-02	---
14	1.2230e-02	---
15	1.2193e-02	---
16	1.2177e-02	---
17	1.2071e-02	---
18	1.1980e-02	---
19	1.1946e-02	---
20	1.1876e-02	---
21	1.1784e-02	---
22	1.1737e-02	---
23	1.1674e-02	---
24	1.1574e-02	---
25	1.1504e-02	---
26	1.1427e-02	---
27	1.1317e-02	---
28	1.1223e-02	---
29	1.1113e-02	---
30	1.0985e-02	---
31	1.0864e-02	---
32	1.0711e-02	---
33	1.0547e-02	---
34	1.0373e-02	---
35	1.0164e-02	---
36	9.9424e-03	---
37	9.6738e-03	---
38	9.3783e-03	---
39	9.0339e-03	---
40	8.5805e-03	---
41	8.0398e-03	---
42	7.4258e-03	---
43	6.7240e-03	---
44	6.1352e-03	---
45	5.9463e-03	---
46	5.1464e-03	---
47	4.3734e-03	---
48	4.7471e-03	---
49	4.6315e-03	---
50	3.3341e-03	---
51	5.3000e-03	---
52	4.2615e-03	---
53	4.5416e-03	---
54	2.7123e-03	---
55	4.1598e-03	---
56	2.5744e-03	---
57	3.5127e-03	---
58	1.9662e-03	---
59	3.2368e-03	---
60	1.8519e-03	---
61	2.7981e-03	---
62	1.8566e-03	---
63	2.4579e-03	---
64	1.6530e-03	---
65	2.3395e-03	---
66	1.3917e-03	---
67	2.3718e-03	---
68	1.1830e-03	---
69	2.3347e-03	---
70	1.1873e-03	---
71	1.8865e-03	---
72	1.3601e-03	---
73	1.3578e-03	---
74	1.6335e-03	---
75	1.0944e-03	---
76	1.6929e-03	---
77	1.1046e-03	---
78	1.3801e-03	---
79	1.2073e-03	---
80	1.0985e-03	---
81	1.3035e-03	---
82	9.6629e-04	---
83	1.2505e-03	---
84	1.0543e-03	---
85	9.8104e-04	---
86	1.1754e-03	---
87	9.1911e-04	---
88	9.7756e-04	---
89	1.0700e-03	---
90	8.6771e-04	---
91	9.0392e-04	---
92	9.8803e-04	---
93	8.4838e-04	---
94	8.2089e-04	---
95	9.1599e-04	---
96	8.5874e-04	---
97	7.7101e-04	---
98	8.0137e-04	---
