0	7.3644049e-02
1	7.1811229e-02
2	7.0141852e-02
3	6.9039211e-02
4	6.8122119e-02
5	6.7059614e-02
6	6.5917864e-02
7	6.4766936e-02
8	6.3684531e-02
9	6.2703900e-02
10	6.1739344e-02
11	6.0807321e-02
12	5.9901219e-02
13	5.9019078e-02
14	5.8155667e-02
15	5.7303980e-02
16	5.6457948e-02
17	5.5618256e-02
18	5.4785475e-02
19	5.3960148e-02
20	5.3142618e-02
21	5.2333232e-02
22	5.1532190e-02
23	5.0739672e-02
24	4.9958590e-02
25	4.9193788e-02
26	4.8444528e-02
27	4.7709402e-02
28	4.6984818e-02
29	4.6267424e-02
30	4.5554712e-02
31	4.4899091e-02
32	4.4259395e-02
33	4.3626372e-02
34	4.3000668e-02
35	4.2381857e-02
36	4.1768696e-02
37	4.1159485e-02
38	4.0553212e-02
39	3.9949212e-02
40	3.9347790e-02
41	3.8750149e-02
42	3.8162414e-02
43	3.7634626e-02
44	3.7121709e-02
45	3.6612425e-02
46	3.6106564e-02
47	3.5603974e-02
48	3.5104435e-02
49	3.4607738e-02
50	3.4113657e-02
51	3.3621911e-02
52	3.3132236e-02
53	3.2644346e-02
54	3.2157909e-02
55	3.1672519e-02
56	3.1154955e-02
57	3.0620873e-02
58	3.0075634e-02
59	2.9519655e-02
60	2.8953115e-02
61	2.8376183e-02
62	2.7788995e-02
63	2.7191913e-02
64	2.6585348e-02
65	2.5969572e-02
66	2.5344864e-02
67	2.4779258e-02
68	2.4296230e-02
69	2.3818009e-02
70	2.3341514e-02
71	2.2865565e-02
72	2.2395268e-02
73	2.1915590e-02
74	2.1440642e-02
75	2.0937718e-02
76	2.0378357e-02
77	1.9817218e-02
78	1.9235959e-02
79	1.8639188e-02
80	1.8082505e-02
81	1.7512413e-02
82	1.6926825e-02
83	1.6396541e-02
84	1.5940448e-02
85	1.5453582e-02
86	1.4942917e-02
87	1.4424864e-02
88	1.3949559e-02
89	1.3530289e-02
90	1.3117724e-02
91	1.2679928e-02
92	1.2222675e-02
93	1.1771535e-02
94	1.1327856e-02
95	1.0889277e-02
96	1.0477767e-02
97	1.0077232e-02
98	9.6783219e-03
99	9.2799952e-03
100	8.9131976e-03
101	8.5692303e-03
102	8.2315812e-03
103	7.8905867e-03
104	7.4286782e-03
105	6.9490671e-03
106	6.4794570e-03
107	6.0379603e-03
108	5.6389235e-03
109	5.3024325e-03
110	5.0298772e-03
111	4.8181661e-03
112	4.6683396e-03
113	4.5787045e-03
114	4.5441408e-03
115	4.5560813e-03
116	4.6029552e-03
117	4.6713450e-03
118	4.7459980e-03
119	4.8145903e-03
120	4.8676971e-03
121	4.8998035e-03
122	4.9091205e-03
123	4.8970222e-03
124	4.8671481e-03
125	4.8243268e-03
126	4.7737914e-03
