0	1.6179e-02	2.3169e-02
1	2.2885e-02	---
2	4.3589e-02	---
3	1.8549e-02	---
4	1.8196e-02	---
5	2.3584e-02	---
6	2.1886e-02	---
7	1.7637e-02	---
8	1.5784e-02	---
9	1.7029e-02	---
10	1.8185e-02	---
11	1.7471e-02	---
12	1.6079e-02	---
13	1.5581e-02	---
14	1.6145e-02	---
15	1.6381e-02	---
16	1.6011e-02	---
17	1.5532e-02	---
18	1.5282e-02	---
19	1.5275e-02	---
20	1.5325e-02	---
21	1.5359e-02	---
22	1.5260e-02	---
23	1.5073e-02	---
24	1.4878e-02	---
25	1.4694e-02	---
26	1.4582e-02	---
27	1.4536e-02	---
28	1.4468e-02	---
29	1.4341e-02	---
30	1.4160e-02	---
31	1.3904e-02	---
32	1.3757e-02	---
33	1.3536e-02	---
34	1.3377e-02	---
35	1.3182e-02	---
36	1.2978e-02	---
37	1.2799e-02	---
38	1.2601e-02	---
39	1.2474e-02	---
40	1.2299e-02	---
41	1.2233e-02	---
42	1.2109e-02	---
43	1.2044e-02	---
44	1.1892e-02	---
45	1.1800e-02	---
46	1.1608e-02	---
47	1.1488e-02	---
48	1.1245e-02	---
49	1.1014e-02	---
50	1.0673e-02	---
51	1.0286e-02	---
52	9.8406e-03	---
53	9.3658e-03	---
54	8.9367e-03	---
55	8.6148e-03	---
56	8.9369e-03	---
57	9.5499e-03	---
58	9.0505e-03	---
59	9.1242e-03	---
60	9.0325e-03	---
61	8.4663e-03	---
62	8.7805e-03	---
63	8.4315e-03	---
64	8.5535e-03	---
65	8.2580e-03	---
66	8.3769e-03	---
67	8.2150e-03	---
68	8.2781e-03	---
69	8.1547e-03	---
70	8.1735e-03	---
71	8.1130e-03	---
72	8.1041e-03	---
73	8.0565e-03	---
74	8.0301e-03	---
75	7.9742e-03	---
76	7.9543e-03	---
77	7.9212e-03	---
78	7.8929e-03	---
79	7.8715e-03	---
80	7.8203e-03	---
81	7.8112e-03	---
82	7.7514e-03	---
83	7.7602e-03	---
84	7.7061e-03	---
85	7.7104e-03	---
86	7.6601e-03	---
87	7.6487e-03	---
88	7.6107e-03	---
89	7.5932e-03	---
90	7.5627e-03	---
91	7.5389e-03	---
92	7.5191e-03	---
93	7.4893e-03	---
94	7.4712e-03	---
95	7.4409e-03	---
96	7.4232e-03	---
97	7.3987e-03	---
98	7.3796e-03	---
99	7.3514e-03	---
100	7.3324e-03	7.3077e-03
101	7.3073e-03	---
102	7.2888e-03	---
103	7.2632e-03	---
104	7.2450e-03	---
105	7.2206e-03	---
106	7.2019e-03	---
107	7.1795e-03	---
108	7.1620e-03	---
109	7.1451e-03	---
110	7.1506e-03	---
111	7.1431e-03	---
112	7.1401e-03	---
113	7.0607e-03	---
114	7.0891e-03	---
115	7.0817e-03	---
116	7.0042e-03	---
117	7.0653e-03	---
118	7.0090e-03	---
119	6.9690e-03	---
120	6.9872e-03	---
121	6.8996e-03	---
122	6.9219e-03	---
123	6.8660e-03	---
124	6.8598e-03	---
125	6.8403e-03	---
126	6.8038e-03	---
127	6.8111e-03	---
128	6.7610e-03	---
129	6.7564e-03	---
130	6.7293e-03	---
131	6.7020e-03	---
132	6.6880e-03	---
133	6.6623e-03	---
134	6.6532e-03	---
135	6.6192e-03	---
136	6.6076e-03	---
137	6.5807e-03	---
138	6.5675e-03	---
139	6.5452e-03	---
140	6.5235e-03	---
141	6.5107e-03	---
142	6.4818e-03	---
143	6.4692e-03	---
144	6.4425e-03	---
145	6.4253e-03	---
146	6.4062e-03	---
147	6.3845e-03	---
148	6.3696e-03	---
149	6.3438e-03	---
150	6.3257e-03	---
151	6.3053e-03	---
152	6.2841e-03	---
153	6.2650e-03	---
154	6.2437e-03	---
155	6.2252e-03	---
156	6.2035e-03	---
157	6.1839e-03	---
158	6.1633e-03	---
159	6.1425e-03	---
160	6.1239e-03	---
161	6.1026e-03	---
162	6.0815e-03	---
163	6.0627e-03	---
164	6.0429e-03	---
165	6.0198e-03	---
166	5.9994e-03	---
167	5.9801e-03	---
168	5.9584e-03	---
169	5.9375e-03	---
170	5.9182e-03	---
171	5.8963e-03	---
172	5.8753e-03	---
173	5.8555e-03	---
174	5.8330e-03	---
175	5.8119e-03	---
176	5.7903e-03	---
177	5.7694e-03	---
178	5.7481e-03	---
179	5.7279e-03	---
180	5.7129e-03	---
181	5.6887e-03	---
182	5.6635e-03	---
183	5.6409e-03	---
184	5.6244e-03	---
185	5.6171e-03	---
186	5.5958e-03	---
187	5.5602e-03	---
188	5.5311e-03	---
189	5.5228e-03	---
190	5.5275e-03	---
191	5.5027e-03	---
192	5.4610e-03	---
193	5.4237e-03	---
194	5.3953e-03	---
195	5.3737e-03	---
196	5.3544e-03	---
197	5.3362e-03	---
198	5.3270e-03	---
199	5.3516e-03	---
200	5.4245e-03	5.6356e-03
201	5.5903e-03	---
202	5.5501e-03	---
203	5.4026e-03	---
204	5.1870e-03	---
205	5.1843e-03	---
206	5.3153e-03	---
207	5.2958e-03	---
208	5.1669e-03	---
209	5.0516e-03	---
210	5.1058e-03	---
211	5.2320e-03	---
212	5.1665e-03	---
213	5.0102e-03	---
214	4.9495e-03	---
215	5.0532e-03	---
216	5.1832e-03	---
217	5.0344e-03	---
218	4.8532e-03	---
219	4.8841e-03	---
220	4.9578e-03	---
221	4.9541e-03	---
222	4.7979e-03	---
223	4.7281e-03	---
224	4.8077e-03	---
225	4.8523e-03	---
226	4.8953e-03	---
227	4.7496e-03	---
228	4.5978e-03	---
229	4.6167e-03	---
230	4.6477e-03	---
231	4.7596e-03	---
232	4.7314e-03	---
233	4.5904e-03	---
234	4.5011e-03	---
235	4.4216e-03	---
236	4.3834e-03	---
237	4.3604e-03	---
238	4.3136e-03	---
239	4.2967e-03	---
240	4.2717e-03	---
241	4.2646e-03	---
242	4.3727e-03	---
243	4.6943e-03	---
244	5.4795e-03	---
245	4.8831e-03	---
246	4.2273e-03	---
247	4.1860e-03	---
248	4.6166e-03	---
249	4.8046e-03	---
250	4.0993e-03	---
