0	4.0231e-02
1	4.0184e-02
2	4.0103e-02
3	3.9977e-02
4	3.9804e-02
5	3.9584e-02
6	3.9423e-02
7	3.9402e-02
8	3.7231e-02
9	2.8654e-02
10	5.9409e-02
11	2.6810e-02
12	3.1324e-02
13	3.6190e-02
14	3.8083e-02
15	3.8728e-02
16	3.8980e-02
17	3.9102e-02
18	3.9156e-02
19	3.9195e-02
20	3.9234e-02
21	3.9270e-02
22	3.9300e-02
23	3.9325e-02
24	3.9347e-02
25	3.9366e-02
26	3.9382e-02
27	3.9396e-02
28	3.9408e-02
29	3.9421e-02
30	3.9432e-02
31	3.9442e-02
32	3.9451e-02
33	3.9459e-02
34	3.9466e-02
35	3.9471e-02
36	3.9476e-02
37	3.9479e-02
38	3.9482e-02
39	3.9483e-02
40	3.9484e-02
41	3.9485e-02
42	3.9484e-02
43	3.9483e-02
44	3.9481e-02
45	3.9479e-02
46	3.9477e-02
47	3.9474e-02
48	3.9470e-02
49	3.9467e-02
50	3.9463e-02
51	3.9458e-02
52	3.9454e-02
53	3.9449e-02
54	3.9444e-02
55	3.9439e-02
56	3.9434e-02
57	3.9429e-02
58	3.9424e-02
59	3.9419e-02
60	3.9414e-02
61	3.9409e-02
62	3.9404e-02
63	3.9399e-02
64	3.9395e-02
65	3.9390e-02
66	3.9386e-02
67	3.9381e-02
68	3.9377e-02
69	3.9372e-02
70	3.9367e-02
71	3.9362e-02
72	3.9357e-02
73	3.9352e-02
74	3.9347e-02
75	3.9342e-02
76	3.9336e-02
77	3.9330e-02
78	3.9324e-02
79	3.9318e-02
80	3.9311e-02
81	3.9305e-02
82	3.9297e-02
83	3.9290e-02
84	3.9282e-02
85	3.9274e-02
86	3.9265e-02
87	3.9256e-02
88	3.9247e-02
89	3.9237e-02
90	3.9226e-02
91	3.9215e-02
92	3.9203e-02
93	3.9190e-02
94	3.9177e-02
95	3.9163e-02
96	3.9148e-02
97	3.9133e-02
98	3.9117e-02
99	3.9100e-02
100	3.9082e-02
101	3.9063e-02
102	3.9041e-02
103	3.9014e-02
104	3.8983e-02
105	3.8946e-02
106	3.8896e-02
107	3.8835e-02
108	3.8757e-02
109	3.8656e-02
110	3.8520e-02
111	3.8334e-02
112	3.8055e-02
113	3.7572e-02
114	3.6631e-02
115	3.4644e-02
116	3.0212e-02
117	2.4247e-02
118	3.1415e-02
119	2.6807e-02
120	2.3355e-02
121	2.6384e-02
122	2.7767e-02
123	2.6395e-02
124	2.2761e-02
125	2.1621e-02
126	2.5404e-02
127	2.0266e-02
128	2.1315e-02
129	2.2781e-02
