0	1.3997e-02	9.7621e-03	1.2181e-02
1	1.3535e-02	9.1818e-03	1.4174e-02
2	1.6870e-02	8.8016e-03	1.1781e-02
3	1.3458e-02	1.1002e-02	1.2117e-02
4	1.3383e-02	9.8284e-03	1.1526e-02
5	1.3293e-02	8.6529e-03	1.2110e-02
6	1.4219e-02	8.6853e-03	1.1637e-02
7	1.3561e-02	8.6980e-03	1.1201e-02
8	1.2776e-02	9.2315e-03	1.1256e-02
9	1.2688e-02	9.0930e-03	1.1018e-02
10	1.2586e-02	8.4732e-03	1.1081e-02
11	1.2879e-02	8.2139e-03	1.1072e-02
12	1.2938e-02	8.0865e-03	1.0726e-02
13	1.2457e-02	8.2088e-03	1.0547e-02
14	1.2132e-02	8.2571e-03	1.0397e-02
15	1.1999e-02	7.8610e-03	1.0300e-02
16	1.2036e-02	7.4864e-03	1.0245e-02
17	1.2062e-02	7.2848e-03	9.9605e-03
18	1.1723e-02	7.2209e-03	9.6662e-03
19	1.1341e-02	7.1303e-03	9.4248e-03
20	1.1109e-02	6.7178e-03	9.2176e-03
21	1.1002e-02	6.2649e-03	8.9616e-03
22	1.0785e-02	5.9735e-03	8.5413e-03
23	1.0310e-02	5.7204e-03	8.1412e-03
24	9.8967e-03	5.2596e-03	7.7632e-03
25	9.5700e-03	4.7075e-03	7.3201e-03
26	9.1278e-03	4.2575e-03	6.7190e-03
27	8.4683e-03	3.7525e-03	6.1147e-03
28	7.8333e-03	3.0077e-03	5.4627e-03
29	7.0481e-03	2.3753e-03	4.7002e-03
30	6.0158e-03	1.8454e-03	4.1495e-03
31	5.1157e-03	1.3737e-03	3.7330e-03
32	4.0964e-03	7.3575e-04	3.9286e-03
33	3.1639e-03	1.2354e-03	9.5583e-03
34	7.9577e-03	7.9169e-04	8.6536e-03
35	8.9428e-03	2.6460e-04	8.1040e-03
36	6.2583e-03	1.3364e-03	3.3847e-03
37	2.8759e-03	3.0723e-03	1.8597e-03
38	2.6904e-03	8.2132e-04	3.4906e-03
39	3.1141e-03	7.4836e-04	3.4359e-03
40	2.7396e-03	5.3284e-04	2.8305e-03
41	2.4933e-03	1.1010e-03	3.3193e-03
42	2.3742e-03	6.5640e-04	4.2025e-03
43	2.5820e-03	5.3956e-04	3.0229e-03
44	1.7737e-03	8.0586e-04	2.6511e-03
45	1.4976e-03	2.9546e-04	3.4294e-03
46	1.6966e-03	2.8433e-04	2.6390e-03
