0	1.3997e-02	1.2085e-02
1	1.3737e-02	1.3006e-02
2	1.4179e-02	1.1973e-02
3	1.3400e-02	1.1911e-02
4	1.3695e-02	1.1813e-02
5	1.3571e-02	1.1710e-02
6	1.3211e-02	1.2053e-02
7	1.3311e-02	1.2113e-02
8	1.3323e-02	1.1734e-02
9	1.3067e-02	1.1459e-02
10	1.2976e-02	1.1419e-02
11	1.3045e-02	1.1350e-02
12	1.2942e-02	1.1309e-02
13	1.2766e-02	1.1426e-02
14	1.2737e-02	1.1496e-02
15	1.2733e-02	1.1332e-02
16	1.2602e-02	1.1092e-02
17	1.2463e-02	1.0950e-02
18	1.2417e-02	1.0861e-02
19	1.2343e-02	1.0784e-02
20	1.2187e-02	1.0788e-02
21	1.2069e-02	1.0801e-02
22	1.1998e-02	1.0658e-02
23	1.1857e-02	1.0416e-02
24	1.1685e-02	1.0222e-02
25	1.1560e-02	1.0069e-02
26	1.1406e-02	9.9344e-03
27	1.1186e-02	9.8455e-03
28	1.0988e-02	9.6924e-03
29	1.0779e-02	9.3872e-03
30	1.0495e-02	9.0635e-03
31	1.0217e-02	8.7728e-03
32	9.9022e-03	8.4904e-03
33	9.5157e-03	8.2042e-03
34	9.1345e-03	7.7651e-03
35	8.6699e-03	7.2521e-03
36	8.1671e-03	6.7494e-03
37	7.5959e-03	6.2476e-03
38	6.9618e-03	5.6167e-03
39	6.2346e-03	4.9559e-03
40	5.4655e-03	4.3477e-03
41	4.6178e-03	3.6894e-03
42	3.7160e-03	3.2268e-03
43	2.7944e-03	3.2577e-03
44	2.4988e-03	1.2320e-02
45	1.0243e-02	5.1331e-03
46	3.8772e-03	3.8474e-03
47	2.9912e-03	1.8624e-03
48	2.0298e-03	3.0354e-03
49	3.9537e-03	1.8566e-03
50	1.7441e-03	3.1394e-03
51	2.4312e-03	3.3091e-03
52	2.3065e-03	2.5329e-03
53	1.0447e-03	5.2693e-03
54	2.3551e-03	4.5015e-03
55	1.3883e-03	3.8694e-03
56	1.5783e-03	4.1749e-03
57	1.9209e-03	3.7726e-03
58	8.9936e-04	5.2043e-03
59	1.6844e-03	3.3972e-03
60	7.9416e-04	2.8226e-03
61	1.0488e-03	2.9290e-03
62	1.2498e-03	2.5807e-03
63	6.9745e-04	3.9696e-03
64	1.1900e-03	3.5175e-03
65	6.5279e-04	3.4413e-03
66	8.0375e-04	4.0631e-03
67	7.5862e-04	6.3340e-03
68	4.8184e-04	7.4994e-03
69	6.4942e-04	6.0121e-03
70	6.5542e-04	6.2359e-03
71	5.2389e-04	7.7629e-03
72	6.3612e-04	6.3177e-03
73	2.4381e-04	5.0829e-03
74	4.7203e-04	5.0689e-03
75	2.2266e-04	5.7688e-03
76	4.8524e-04	4.6121e-03
77	2.9485e-04	4.7990e-03
78	3.3691e-04	6.0014e-03
79	3.1962e-04	6.0678e-03
80	1.6038e-04	6.3363e-03
81	2.9236e-04	7.2794e-03
82	1.7738e-04	7.6189e-03
83	1.6777e-04	7.5324e-03
84	2.6078e-04	7.8289e-03
85	1.6157e-04	7.5987e-03
86	9.7395e-05	7.4444e-03
87	1.4836e-04	7.8511e-03
88	1.9100e-04	7.7267e-03
89	1.9668e-04	8.2757e-03
90	1.2924e-04	8.5343e-03
91	8.7484e-05	8.9809e-03
92	7.4313e-05	9.3108e-03
93	8.4952e-05	9.4698e-03
94	1.2323e-04	9.3400e-03
95	2.1892e-04	9.2451e-03
96	5.5945e-04	8.6782e-03
97	1.0285e-03	8.0689e-03
98	2.2777e-03	6.4967e-03
99	4.6599e-04	5.5201e-03
100	5.8136e-04	5.1504e-03
101	9.8079e-04	4.2513e-03
102	6.0548e-04	4.4362e-03
103	6.6370e-04	4.1927e-03
104	4.6348e-04	3.9123e-03
105	5.0024e-04	4.0912e-03
106	6.2169e-04	4.2212e-03
107	2.9941e-04	4.8228e-03
108	6.6978e-04	4.1670e-03
109	2.8285e-04	4.0147e-03
110	5.2490e-04	3.9057e-03
111	3.5308e-04	4.3695e-03
112	3.4174e-04	4.5287e-03
113	3.9364e-04	3.9725e-03
114	2.5804e-04	4.0449e-03
115	3.9209e-04	4.4845e-03
116	2.0568e-04	5.4570e-03
117	3.6698e-04	5.1356e-03
118	1.8100e-04	5.1301e-03
119	3.0743e-04	5.7548e-03
120	1.6372e-04	6.7053e-03
121	2.9385e-04	6.1538e-03
122	1.4762e-04	6.0019e-03
123	2.2267e-04	6.4910e-03
124	1.3450e-04	6.5591e-03
125	1.5778e-04	5.9744e-03
126	1.5742e-04	6.0500e-03
127	1.0349e-04	6.5392e-03
128	1.6984e-04	6.2294e-03
129	9.1539e-05	6.3799e-03
130	1.1095e-04	6.9334e-03
131	1.1954e-04	6.9858e-03
132	6.5410e-05	7.1738e-03
133	9.0589e-05	7.5385e-03
134	9.6744e-05	7.5576e-03
135	6.1490e-05	7.6596e-03
136	5.7029e-05	7.8223e-03
137	8.0450e-05	7.8268e-03
138	8.5605e-05	7.9755e-03
139	5.7654e-05	8.0994e-03
140	4.7241e-05	8.2795e-03
141	6.1430e-05	8.5155e-03
142	8.1065e-05	8.6901e-03
143	1.0340e-04	8.7991e-03
144	1.1689e-04	8.8418e-03
145	1.4386e-04	8.7550e-03
146	1.6975e-04	8.6436e-03
147	2.3064e-04	8.4350e-03
148	2.5079e-04	8.1602e-03
149	2.8498e-04	7.9356e-03
150	1.8634e-04	7.6337e-03
151	8.5181e-05	7.5412e-03
152	5.2458e-05	7.5995e-03
153	1.0954e-04	7.5294e-03
154	1.4675e-04	7.5616e-03
155	7.7943e-05	7.4900e-03
156	5.4430e-05	7.3930e-03
157	9.6313e-05	7.4342e-03
158	8.8342e-05	7.2822e-03
159	5.3415e-05	7.2544e-03
160	5.6966e-05	7.3977e-03
161	7.8374e-05	7.3384e-03
162	6.8652e-05	7.5095e-03
163	4.7603e-05	7.6815e-03
164	5.9918e-05	7.7011e-03
165	7.6408e-05	7.8905e-03
166	6.2293e-05	7.8775e-03
167	4.7735e-05	7.8669e-03
168	5.2671e-05	7.9171e-03
169	6.3574e-05	7.7845e-03
170	6.3110e-05	7.8071e-03
171	5.0348e-05	7.7658e-03
172	4.4657e-05	7.7525e-03
173	5.0115e-05	7.8413e-03
174	5.5817e-05	7.8307e-03
175	5.5513e-05	7.9238e-03
176	4.7665e-05	7.9430e-03
177	4.2759e-05	7.9696e-03
178	4.3432e-05	8.0084e-03
179	4.7192e-05	7.9900e-03
180	5.0754e-05	8.0361e-03
181	5.1505e-05	8.0232e-03
182	5.1300e-05	8.0892e-03
183	4.9841e-05	8.1126e-03
184	4.8735e-05	8.1957e-03
185	4.7604e-05	8.2424e-03
186	4.8158e-05	8.3195e-03
187	4.9520e-05	8.3391e-03
188	5.3927e-05	8.3799e-03
189	6.2389e-05	8.3479e-03
190	8.6155e-05	8.3736e-03
191	1.2982e-04	8.2356e-03
192	2.4380e-04	8.2411e-03
193	4.1558e-04	7.7488e-03
194	7.5812e-04	7.5016e-03
195	5.0017e-04	6.4794e-03
196	1.8462e-04	6.1154e-03
197	9.3270e-05	6.3693e-03
198	2.9354e-04	5.8636e-03
199	1.8039e-04	5.8560e-03
200	1.1151e-04	6.2896e-03
201	2.5279e-04	5.8513e-03
202	1.0725e-04	5.7867e-03
203	1.5846e-04	6.0967e-03
204	1.4789e-04	5.8873e-03
205	8.6253e-05	5.6757e-03
206	1.5073e-04	5.9011e-03
207	7.8377e-05	6.2118e-03
208	1.2615e-04	5.9992e-03
209	1.1527e-04	6.2873e-03
210	7.7854e-05	6.8785e-03
211	1.3780e-04	6.6877e-03
212	9.3794e-05	6.9110e-03
213	7.3688e-05	7.3388e-03
214	1.2677e-04	7.0284e-03
215	9.7073e-05	7.1215e-03
216	5.5518e-05	7.2965e-03
217	1.0533e-04	6.9653e-03
218	1.1553e-04	7.1197e-03
219	5.3339e-05	7.1939e-03
220	6.8415e-05	7.0858e-03
221	1.1447e-04	7.3626e-03
222	8.0640e-05	7.3582e-03
223	4.4115e-05	7.4495e-03
224	5.5916e-05	7.6568e-03
225	8.3122e-05	7.6108e-03
226	9.0585e-05	7.7336e-03
227	6.2254e-05	7.7054e-03
228	4.1002e-05	7.7500e-03
229	4.2105e-05	7.8680e-03
230	5.8657e-05	7.8987e-03
231	7.8709e-05	8.0647e-03
232	8.2848e-05	8.0578e-03
233	8.4322e-05	8.1696e-03
234	7.4020e-05	8.1349e-03
235	6.7203e-05	8.1821e-03
236	5.6836e-05	8.1323e-03
237	5.0034e-05	8.1353e-03
238	4.3544e-05	8.0981e-03
239	3.9563e-05	8.0939e-03
240	3.7375e-05	8.0857e-03
241	3.7077e-05	8.0814e-03
242	3.8236e-05	8.1002e-03
243	4.0132e-05	8.0916e-03
244	4.2786e-05	8.1271e-03
245	4.5162e-05	8.1046e-03
246	4.8480e-05	8.1425e-03
247	5.1857e-05	8.0916e-03
248	5.7803e-05	8.1301e-03
249	6.3941e-05	8.0427e-03
250	7.6911e-05	8.0947e-03
251	9.1761e-05	7.9223e-03
252	1.2294e-04	8.0066e-03
253	1.6192e-04	7.6667e-03
254	2.3453e-04	7.7671e-03
255	2.5213e-04	7.2268e-03
256	2.6813e-04	7.2332e-03
257	1.3313e-04	6.8614e-03
258	4.6551e-05	6.7259e-03
259	8.1564e-05	6.9636e-03
260	1.1962e-04	6.6979e-03
261	8.0187e-05	6.7692e-03
262	5.1281e-05	6.9657e-03
263	9.6760e-05	6.7021e-03
264	9.6293e-05	6.8363e-03
265	4.8684e-05	6.9567e-03
266	7.4817e-05	6.7360e-03
267	1.0045e-04	7.0059e-03
268	5.8965e-05	7.0557e-03
269	4.9372e-05	7.0104e-03
270	7.9293e-05	7.3600e-03
271	7.2842e-05	7.3087e-03
272	4.8008e-05	7.4260e-03
273	4.3305e-05	7.6037e-03
274	6.0729e-05	7.4880e-03
275	7.0978e-05	7.6441e-03
276	5.7077e-05	7.5537e-03
277	4.1808e-05	7.5787e-03
278	3.7597e-05	7.6531e-03
279	4.5399e-05	7.6243e-03
280	5.7980e-05	7.7983e-03
281	6.4198e-05	7.7593e-03
282	7.0407e-05	7.9184e-03
283	6.9799e-05	7.8567e-03
284	7.4208e-05	7.9687e-03
285	7.7010e-05	7.8449e-03
286	8.8745e-05	7.9378e-03
287	1.0649e-04	7.7138e-03
288	1.4333e-04	7.8457e-03
289	1.8026e-04	7.4625e-03
290	2.4786e-04	7.5956e-03
291	2.4169e-04	7.0460e-03
292	2.1953e-04	7.0856e-03
293	8.8266e-05	6.8740e-03
294	4.6322e-05	6.6981e-03
295	1.0889e-04	6.9639e-03
296	1.0710e-04	6.7297e-03
297	5.5379e-05	6.7234e-03
298	6.0241e-05	6.9640e-03
299	8.9921e-05	6.7217e-03
300	6.8155e-05	6.8101e-03
301	4.5395e-05	7.0155e-03
302	7.2951e-05	6.8317e-03
303	7.9810e-05	7.0878e-03
304	4.7487e-05	7.2117e-03
305	4.8674e-05	7.1688e-03
306	7.2114e-05	7.4915e-03
307	6.3837e-05	7.4416e-03
308	4.4187e-05	7.5332e-03
309	3.9555e-05	7.6637e-03
310	5.2274e-05	7.5451e-03
311	6.4711e-05	7.6963e-03
312	6.0218e-05	7.5726e-03
313	5.0163e-05	7.6640e-03
314	3.8325e-05	7.6878e-03
315	3.4728e-05	7.7283e-03
316	3.8925e-05	7.8651e-03
317	4.6665e-05	7.8681e-03
318	5.8129e-05	8.0107e-03
319	6.9856e-05	7.9208e-03
320	9.5461e-05	8.0462e-03
321	1.3718e-04	7.7562e-03
322	2.5264e-04	7.9158e-03
323	4.0179e-04	7.2265e-03
324	7.9969e-04	7.0707e-03
325	6.1401e-04	5.7896e-03
326	3.2496e-04	5.2817e-03
327	9.9964e-05	5.6704e-03
328	3.9335e-04	4.9857e-03
329	1.9321e-04	5.0049e-03
330	2.2011e-04	5.5165e-03
331	2.5149e-04	5.2480e-03
332	1.2851e-04	4.9691e-03
333	2.9916e-04	5.1981e-03
334	1.1457e-04	5.5955e-03
335	2.3627e-04	5.0101e-03
336	1.7035e-04	5.0835e-03
337	1.6006e-04	5.7713e-03
338	1.9023e-04	5.6253e-03
339	9.0084e-05	5.5930e-03
340	1.7684e-04	6.0843e-03
341	8.4478e-05	6.4493e-03
342	1.2299e-04	6.2232e-03
343	1.4191e-04	6.4919e-03
344	5.8097e-05	6.8219e-03
345	1.2490e-04	6.5270e-03
346	1.3098e-04	6.6919e-03
347	4.8128e-05	6.8627e-03
348	9.0883e-05	6.7235e-03
349	1.4307e-04	6.9887e-03
350	7.9231e-05	7.0101e-03
351	3.8262e-05	7.1045e-03
352	7.9619e-05	7.4057e-03
353	1.1149e-04	7.3703e-03
354	1.0297e-04	7.5303e-03
355	5.3059e-05	7.5644e-03
356	3.4519e-05	7.5954e-03
357	5.5063e-05	7.7280e-03
358	8.4147e-05	7.6733e-03
359	1.0824e-04	7.7888e-03
360	9.7673e-05	7.6930e-03
361	8.0004e-05	7.7435e-03
362	5.0799e-05	7.7139e-03
363	3.5493e-05	7.7145e-03
364	3.8079e-05	7.7471e-03
365	5.0616e-05	7.6790e-03
366	6.3010e-05	7.7052e-03
367	5.8885e-05	7.5929e-03
368	4.7405e-05	7.5810e-03
369	3.5476e-05	7.5534e-03
370	3.4320e-05	7.5205e-03
371	4.2038e-05	7.5913e-03
372	4.7839e-05	7.5546e-03
373	4.7686e-05	7.6312e-03
374	4.0955e-05	7.6190e-03
375	3.5117e-05	7.6403e-03
376	3.3431e-05	7.6613e-03
377	3.6304e-05	7.6192e-03
378	4.0531e-05	7.6589e-03
379	4.1437e-05	7.6000e-03
380	3.9764e-05	7.6318e-03
381	3.5795e-05	7.6106e-03
382	3.3214e-05	7.6170e-03
383	3.3007e-05	7.6412e-03
384	3.4683e-05	7.6178e-03
385	3.6849e-05	7.6585e-03
386	3.7271e-05	7.6250e-03
387	3.6777e-05	7.6546e-03
388	3.5017e-05	7.6323e-03
389	3.3452e-05	7.6481e-03
390	3.2482e-05	7.6551e-03
