0	1.6265e-02	1.6618e-02
1	1.6490e-02	---
2	1.6647e-02	---
3	1.6320e-02	---
4	1.6122e-02	---
5	1.6287e-02	---
6	1.6153e-02	---
7	1.5975e-02	---
8	1.6020e-02	---
9	1.6027e-02	---
10	1.5879e-02	---
11	1.5789e-02	---
12	1.5814e-02	---
13	1.5761e-02	---
14	1.5643e-02	---
15	1.5611e-02	---
16	1.5603e-02	---
17	1.5514e-02	---
18	1.5444e-02	---
19	1.5439e-02	---
20	1.5387e-02	---
21	1.5307e-02	---
22	1.5279e-02	---
23	1.5238e-02	---
24	1.5159e-02	---
25	1.5113e-02	---
26	1.5067e-02	---
27	1.4981e-02	---
28	1.4912e-02	---
29	1.4841e-02	---
30	1.4738e-02	---
31	1.4650e-02	---
32	1.4549e-02	---
33	1.4420e-02	---
34	1.4298e-02	---
35	1.4147e-02	---
36	1.3972e-02	---
37	1.3783e-02	---
38	1.3551e-02	---
39	1.3296e-02	---
40	1.3006e-02	---
41	1.2684e-02	---
42	1.2315e-02	---
43	1.1899e-02	---
44	1.1448e-02	---
45	1.0997e-02	---
46	1.0567e-02	---
47	1.0231e-02	---
48	1.0068e-02	---
49	1.0168e-02	---
50	1.0320e-02	---
51	9.9797e-03	---
52	9.4371e-03	---
53	9.2657e-03	---
54	9.4364e-03	---
55	9.5357e-03	---
56	8.9793e-03	---
57	9.0240e-03	---
58	8.9612e-03	---
59	8.8172e-03	---
60	8.8998e-03	---
61	8.6720e-03	---
62	8.7974e-03	---
63	8.7258e-03	---
64	8.7025e-03	---
65	8.7431e-03	---
66	8.6075e-03	---
67	8.6827e-03	---
68	8.5765e-03	---
69	8.5952e-03	---
70	8.5893e-03	---
71	8.5121e-03	---
72	8.5561e-03	---
73	8.4758e-03	---
74	8.4799e-03	---
75	8.4711e-03	---
76	8.4311e-03	---
77	8.4526e-03	---
78	8.4002e-03	---
79	8.4159e-03	---
80	8.3817e-03	---
81	8.3753e-03	---
82	8.3635e-03	---
83	8.3374e-03	---
84	8.3388e-03	---
85	8.3100e-03	---
86	8.3096e-03	---
87	8.2938e-03	---
88	8.2809e-03	---
89	8.2767e-03	---
90	8.2580e-03	---
91	8.2549e-03	---
92	8.2399e-03	---
93	8.2267e-03	---
94	8.2218e-03	---
95	8.2049e-03	---
96	8.1968e-03	---
97	8.1886e-03	---
98	8.1736e-03	---
99	8.1689e-03	---
100	8.1566e-03	8.0922e-03
101	8.1451e-03	---
102	8.1371e-03	---
103	8.1245e-03	---
104	8.1157e-03	---
105	8.1067e-03	---
106	8.0957e-03	---
107	8.0873e-03	---
108	8.0829e-03	---
109	8.0684e-03	---
110	8.0572e-03	---
111	8.0524e-03	---
112	8.0417e-03	---
113	8.0288e-03	---
114	8.0219e-03	---
115	8.0152e-03	---
116	8.0021e-03	---
117	7.9922e-03	---
118	7.9858e-03	---
119	7.9743e-03	---
120	7.9651e-03	---
121	7.9573e-03	---
122	7.9474e-03	---
123	7.9375e-03	---
124	7.9296e-03	---
125	7.9204e-03	---
126	7.9107e-03	---
127	7.9019e-03	---
128	7.8930e-03	---
129	7.8841e-03	---
130	7.8752e-03	---
131	7.8664e-03	---
132	7.8577e-03	---
133	7.8489e-03	---
134	7.8402e-03	---
135	7.8314e-03	---
136	7.8231e-03	---
137	7.8150e-03	---
138	7.8064e-03	---
139	7.7971e-03	---
140	7.7883e-03	---
141	7.7799e-03	---
142	7.7715e-03	---
143	7.7629e-03	---
144	7.7543e-03	---
145	7.7458e-03	---
146	7.7374e-03	---
147	7.7289e-03	---
148	7.7205e-03	---
149	7.7120e-03	---
150	7.7037e-03	---
151	7.6955e-03	---
152	7.6876e-03	---
153	7.6802e-03	---
154	7.6728e-03	---
155	7.6632e-03	---
156	7.6541e-03	---
157	7.6459e-03	---
158	7.6390e-03	---
159	7.6340e-03	---
160	7.6270e-03	---
161	7.6151e-03	---
162	7.6053e-03	---
163	7.6008e-03	---
164	7.5926e-03	---
165	7.5838e-03	---
166	7.5738e-03	---
167	7.5645e-03	---
