EPOCH 140, LOSS: 0.006455970928072929
EPOCH 141, LOSS: 0.0062824636697769165
EPOCH 142, LOSS: 0.006120486184954643
EPOCH 143, LOSS: 0.005971464794129133
EPOCH 144, LOSS: 0.005836904980242252
EPOCH 145, LOSS: 0.005717507563531399
EPOCH 146, LOSS: 0.005612474400550127
EPOCH 147, LOSS: 0.005520144943147898
EPOCH 148, LOSS: 0.00543832965195179
EPOCH 149, LOSS: 0.0053633712232112885
EPOCH 150, LOSS: 0.005291327368468046
EPOCH 151, LOSS: 0.005220436491072178
EPOCH 152, LOSS: 0.005151855759322643
EPOCH 153, LOSS: 0.005088606849312782
EPOCH 154, LOSS: 0.005032728426158428
EPOCH 155, LOSS: 0.004983875900506973
EPOCH 156, LOSS: 0.004938382655382156
EPOCH 157, LOSS: 0.004890794400125742
EPOCH 158, LOSS: 0.004838275723159313
EPOCH 159, LOSS: 0.004784177057445049
EPOCH 160, LOSS: 0.004734395071864128
EPOCH 161, LOSS: 0.004691949114203453
EPOCH 162, LOSS: 0.004654874559491873
EPOCH 163, LOSS: 0.004618059378117323
EPOCH 164, LOSS: 0.004578295163810253
EPOCH 165, LOSS: 0.0045384606346488
EPOCH 166, LOSS: 0.004503922536969185
EPOCH 167, LOSS: 0.004475921392440796
EPOCH 168, LOSS: 0.004451584070920944
EPOCH 169, LOSS: 0.004425947554409504
EPOCH 170, LOSS: 0.004398776683956385
EPOCH 171, LOSS: 0.004374341573566198
EPOCH 172, LOSS: 0.0043551381677389145
EPOCH 173, LOSS: 0.004338923841714859
EPOCH 174, LOSS: 0.0043207379058003426
EPOCH 175, LOSS: 0.004300693050026894
EPOCH 176, LOSS: 0.004283484537154436
EPOCH 177, LOSS: 0.004270454403012991
EPOCH 178, LOSS: 0.0042573739774525166
EPOCH 179, LOSS: 0.004240764770656824
EPOCH 180, LOSS: 0.004224700387567282
EPOCH 181, LOSS: 0.004212688188999891
EPOCH 182, LOSS: 0.004201094154268503
EPOCH 183, LOSS: 0.0041857329197227955
EPOCH 184, LOSS: 0.004170622676610947
EPOCH 185, LOSS: 0.004159109201282263
EPOCH 186, LOSS: 0.0041472637094557285
EPOCH 187, LOSS: 0.004132094327360392
EPOCH 188, LOSS: 0.004118346143513918
EPOCH 189, LOSS: 0.00410738680511713
EPOCH 190, LOSS: 0.004094532225281
EPOCH 191, LOSS: 0.004080106969922781
EPOCH 192, LOSS: 0.004068287555128336
EPOCH 193, LOSS: 0.004057176411151886
EPOCH 194, LOSS: 0.004043601918965578
EPOCH 195, LOSS: 0.004031069576740265
EPOCH 196, LOSS: 0.004020509775727987
EPOCH 197, LOSS: 0.004008165560662746
EPOCH 198, LOSS: 0.003995547071099281
EPOCH 199, LOSS: 0.003984895534813404
EPOCH 200, LOSS: 0.003973391838371754
EPOCH 201, LOSS: 0.003960935398936272
EPOCH 202, LOSS: 0.003950168844312429
EPOCH 203, LOSS: 0.003938974812626839
EPOCH 204, LOSS: 0.0039267162792384624
EPOCH 205, LOSS: 0.003915790002793074
EPOCH 206, LOSS: 0.0039046588353812695
EPOCH 207, LOSS: 0.003892485285177827
EPOCH 208, LOSS: 0.003881433978676796
EPOCH 209, LOSS: 0.0038701777812093496
EPOCH 210, LOSS: 0.003858070122078061
EPOCH 211, LOSS: 0.0038470078725367785
EPOCH 212, LOSS: 0.0038354957941919565
EPOCH 213, LOSS: 0.0038234612438827753
EPOCH 214, LOSS: 0.0038124306593090296
EPOCH 215, LOSS: 0.0038006764370948076
EPOCH 216, LOSS: 0.003788954811170697
EPOCH 217, LOSS: 0.0037778031546622515
EPOCH 218, LOSS: 0.0037659851368516684
EPOCH 219, LOSS: 0.003754581557586789
EPOCH 220, LOSS: 0.003743237815797329
EPOCH 221, LOSS: 0.0037315424997359514
EPOCH 222, LOSS: 0.0037204113323241472
EPOCH 223, LOSS: 0.0037090247496962547
EPOCH 224, LOSS: 0.0036975746043026447
EPOCH 225, LOSS: 0.003686523763462901
EPOCH 226, LOSS: 0.003675069659948349
EPOCH 227, LOSS: 0.003663967363536358
EPOCH 228, LOSS: 0.0036528841592371464
EPOCH 229, LOSS: 0.0036415879148989916
EPOCH 230, LOSS: 0.003630643477663398
EPOCH 231, LOSS: 0.003619475057348609
EPOCH 232, LOSS: 0.0036084926687180996
EPOCH 233, LOSS: 0.0035975172650069
EPOCH 234, LOSS: 0.0035865185782313347
EPOCH 235, LOSS: 0.00357574294321239
EPOCH 236, LOSS: 0.0035647547338157892
EPOCH 237, LOSS: 0.0035539413802325726
EPOCH 238, LOSS: 0.0035431564319878817
EPOCH 239, LOSS: 0.0035323542542755604
EPOCH 240, LOSS: 0.0035217138938605785
EPOCH 241, LOSS: 0.0035109559539705515
EPOCH 242, LOSS: 0.003500370541587472
EPOCH 243, LOSS: 0.0034897085279226303
EPOCH 244, LOSS: 0.0034791771322488785
EPOCH 245, LOSS: 0.0034686396829783916
EPOCH 246, LOSS: 0.003458123654127121
EPOCH 247, LOSS: 0.0034476574510335922
EPOCH 248, LOSS: 0.0034371879883110523
EPOCH 249, LOSS: 0.00342683307826519
EPOCH 250, LOSS: 0.003416426246985793
EPOCH 251, LOSS: 0.003406103467568755
EPOCH 252, LOSS: 0.00339576811529696
EPOCH 253, LOSS: 0.0033854811917990446
EPOCH 254, LOSS: 0.0033751721493899822
EPOCH 255, LOSS: 0.003364941570907831
EPOCH 256, LOSS: 0.0033547054044902325
EPOCH 257, LOSS: 0.00334451487287879
EPOCH 258, LOSS: 0.0033343173563480377
EPOCH 259, LOSS: 0.0033242031931877136
EPOCH 260, LOSS: 0.0033140606246888638
EPOCH 261, LOSS: 0.0033039648551493883
EPOCH 262, LOSS: 0.003293908666819334
EPOCH 263, LOSS: 0.00328378239646554
EPOCH 264, LOSS: 0.003273851703852415
EPOCH 265, LOSS: 0.0032637447584420443
EPOCH 266, LOSS: 0.003253887640312314
EPOCH 267, LOSS: 0.0032438074704259634
EPOCH 268, LOSS: 0.0032341359183192253
EPOCH 269, LOSS: 0.003223917679861188
EPOCH 270, LOSS: 0.0032147495076060295
EPOCH 271, LOSS: 0.0032042302191257477
EPOCH 272, LOSS: 0.0031962331850081682
EPOCH 273, LOSS: 0.003185428911820054
EPOCH 274, LOSS: 0.0031810819637030363
EPOCH 275, LOSS: 0.0031715501099824905
EPOCH 276, LOSS: 0.0031802719458937645
EPOCH 277, LOSS: 0.0031850857194513083
EPOCH 278, LOSS: 0.0032465343829244375
EPOCH 279, LOSS: 0.0033488066401332617
EPOCH 280, LOSS: 0.003594012465327978
EPOCH 281, LOSS: 0.004131724592298269
EPOCH 282, LOSS: 0.004314151126891375
EPOCH 283, LOSS: 0.00474756071344018
EPOCH 284, LOSS: 0.003646167926490307
EPOCH 285, LOSS: 0.0031402732711285353
EPOCH 286, LOSS: 0.0033441255800426006
EPOCH 287, LOSS: 0.0036003640852868557
EPOCH 288, LOSS: 0.0031114511657506227
EPOCH 289, LOSS: 0.0031002347823232412
EPOCH 290, LOSS: 0.003394120140001178
EPOCH 291, LOSS: 0.0030983106698840857
EPOCH 292, LOSS: 0.003025101963430643
EPOCH 293, LOSS: 0.003224907210096717
EPOCH 294, LOSS: 0.0031246759463101625
EPOCH 295, LOSS: 0.002965775318443775
EPOCH 296, LOSS: 0.003094298532232642
EPOCH 297, LOSS: 0.0031846147030591965
EPOCH 298, LOSS: 0.002936145756393671
EPOCH 299, LOSS: 0.0030074443202465773
EPOCH 300, LOSS: 0.0031551129650324583
EPOCH 301, LOSS: 0.0029212122317403555
EPOCH 302, LOSS: 0.0029817908070981503
EPOCH 303, LOSS: 0.0030654307920485735
EPOCH 304, LOSS: 0.0029038796201348305
EPOCH 305, LOSS: 0.0030137579888105392
EPOCH 306, LOSS: 0.0029928439762443304
EPOCH 307, LOSS: 0.0028842780739068985
EPOCH 308, LOSS: 0.003055150853469968
EPOCH 309, LOSS: 0.002938197460025549
EPOCH 310, LOSS: 0.0028610159642994404
EPOCH 311, LOSS: 0.0030449149198830128
EPOCH 312, LOSS: 0.00289378734305501
EPOCH 313, LOSS: 0.00283039640635252
EPOCH 314, LOSS: 0.002989819971844554
EPOCH 315, LOSS: 0.0028688344173133373
EPOCH 316, LOSS: 0.002792355604469776
EPOCH 317, LOSS: 0.0029307345394045115
EPOCH 318, LOSS: 0.00286864978261292
EPOCH 319, LOSS: 0.0027572347316890955
EPOCH 320, LOSS: 0.002882269211113453
EPOCH 321, LOSS: 0.0028734540101140738
EPOCH 322, LOSS: 0.0027373633347451687
EPOCH 323, LOSS: 0.002843901515007019
EPOCH 324, LOSS: 0.002858883934095502
EPOCH 325, LOSS: 0.00272894068621099
EPOCH 326, LOSS: 0.0028114374727010727
EPOCH 327, LOSS: 0.002827363321557641
EPOCH 328, LOSS: 0.0027195564471185207
EPOCH 329, LOSS: 0.0027724436949938536
EPOCH 330, LOSS: 0.0027889530174434185
EPOCH 331, LOSS: 0.0027049146592617035
EPOCH 332, LOSS: 0.0027153510600328445
EPOCH 333, LOSS: 0.0027417882811278105
EPOCH 334, LOSS: 0.0026896707713603973
EPOCH 335, LOSS: 0.0026460827793926
EPOCH 336, LOSS: 0.0026753460988402367
EPOCH 337, LOSS: 0.002674622694030404
EPOCH 338, LOSS: 0.0025964202359318733
EPOCH 339, LOSS: 0.002599837025627494
EPOCH 340, LOSS: 0.002641990315169096
EPOCH 341, LOSS: 0.002588695613667369
EPOCH 342, LOSS: 0.0025624679401516914
EPOCH 343, LOSS: 0.002579516265541315
EPOCH 344, LOSS: 0.002572170924395323
EPOCH 345, LOSS: 0.0025681897532194853
EPOCH 346, LOSS: 0.0025280306581407785
EPOCH 347, LOSS: 0.0025234012864530087
EPOCH 348, LOSS: 0.0025516755413264036
EPOCH 349, LOSS: 0.00251376093365252
EPOCH 350, LOSS: 0.002506197663024068
EPOCH 351, LOSS: 0.002496035536751151
EPOCH 352, LOSS: 0.002484306925907731
EPOCH 353, LOSS: 0.0025020490866154432
EPOCH 354, LOSS: 0.002464023884385824
EPOCH 355, LOSS: 0.0024579705204814672
EPOCH 356, LOSS: 0.002451255451887846
EPOCH 357, LOSS: 0.002436702372506261
EPOCH 358, LOSS: 0.0024499017745256424
EPOCH 359, LOSS: 0.002419173950329423
EPOCH 360, LOSS: 0.00241856649518013
EPOCH 361, LOSS: 0.002399611985310912
EPOCH 362, LOSS: 0.002390081062912941
EPOCH 363, LOSS: 0.0023949043825268745
EPOCH 364, LOSS: 0.0023749584797769785
EPOCH 365, LOSS: 0.002384874736890197
EPOCH 366, LOSS: 0.0023579078260809183
EPOCH 367, LOSS: 0.0023618664126843214
EPOCH 368, LOSS: 0.002340256003662944
EPOCH 369, LOSS: 0.002336651785299182
EPOCH 370, LOSS: 0.0023273080587387085
EPOCH 371, LOSS: 0.0023158143740147352
EPOCH 372, LOSS: 0.002317164558917284
EPOCH 373, LOSS: 0.00229831924661994
EPOCH 374, LOSS: 0.002306608948856592
