# t, x, y
0.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00
1.000100010001000045e-01,3.987747593946156854e+00,7.001394889930240950e+00
2.000200020002000090e-01,3.127593221088704745e+00,6.979352788321003587e+00
3.000300030003000273e-01,2.396357894500785513e+00,6.925157954037207020e+00
4.000400040004000179e-01,1.776036543191144901e+00,6.825144359064280408e+00
5.000500050005000086e-01,1.253021590841473021e+00,6.658536550615479221e+00
6.000600060006000547e-01,8.172645136372582719e-01,6.379785977696368349e+00
7.000700070006999898e-01,4.655490732570133350e-01,5.895599773374312846e+00
8.000800080008000359e-01,2.028754815010882506e-01,4.985633544465534861e+00
9.000900090009000820e-01,5.018766532138428660e-02,2.873499143695056990e+00
1.000100010001000017e+00,1.141567286227763989e-02,1.675522693832937615e-01
1.100110011001099952e+00,1.161455189021478457e-02,1.107788127214522729e-03
1.200120012001200109e+00,1.361565174898353783e-02,1.357378191768244418e-05
1.300130013001300044e+00,1.597746459010265102e-02,2.824019102433177126e-07
1.400140014001399980e+00,1.874904840148130386e-02,-3.806049197607676806e-08
1.500150015001500137e+00,2.200122322894249027e-02,-1.539746005076543529e-07
1.600160016001600072e+00,2.581724524462833056e-02,2.127348153553736749e-07
1.700170017001700007e+00,3.029476077390957922e-02,-3.178337706584075494e-07
1.800180018001800164e+00,3.554830540288532459e-02,3.908127549499033265e-07
1.900190019001900099e+00,4.171221026709973773e-02,-4.867918893189659827e-08
2.000200020002000034e+00,4.894381603030989458e-02,6.351811056247355416e-08
2.100210021002100191e+00,5.742799767388176435e-02,1.230486892404048273e-07
2.200220022002199904e+00,6.738101780499666793e-02,2.745669987762639985e-08
2.300230023002300062e+00,7.905596200427617015e-02,2.709484500069521452e-08
2.400240024002400219e+00,9.275088881855826639e-02,3.880514653114398313e-08
2.500250025002499932e+00,1.088176801384456438e-01,2.075545390227815500e-08
2.600260026002600089e+00,1.276535692936559552e-01,1.116338764187286190e-08
2.700270027002700246e+00,1.497329798901804176e-01,8.031013202423280351e-09
2.800280028002799959e+00,1.756244096124558174e-01,8.992575252900645423e-09
2.900290029002900116e+00,2.059904302233644957e-01,1.131449767875238640e-08
3.000300030003000273e+00,2.415876875642340715e-01,1.189538358190201429e-08
3.100310031003099986e+00,2.833032141233744472e-01,9.854285031396579780e-09
3.200320032003200144e+00,3.321549746498381195e-01,8.318303385483906234e-09
3.300330033003300301e+00,3.893071084947068439e-01,7.238578189039070115e-09
3.400340034003400014e+00,4.561875157079809395e-01,6.493094356069221129e-09
3.500350035003500171e+00,5.344897908280487053e-01,5.980041713162664199e-09
3.600360036003600328e+00,6.261732228816843104e-01,5.617814999488885929e-09
3.700370037003700041e+00,7.334627953840491266e-01,5.345013866798524830e-09
3.800380038003800198e+00,8.588491863386924496e-01,5.120442879423395307e-09
3.900390039003900355e+00,1.005083390371862118e+00,4.925406386465596313e-09
4.000400040004000068e+00,1.175347448066307310e+00,4.772116548836469960e-09
4.100410041004099782e+00,1.373631017774706198e+00,4.657926134322850213e-09
4.200420042004200383e+00,1.604510977255815707e+00,4.576315189235889065e-09
4.300430043004300096e+00,1.873115914131123327e+00,4.521579094036005176e-09
4.400440044004399809e+00,2.185126125884861992e+00,4.488828563332883045e-09
4.500450045004500410e+00,2.546773619864002303e+00,4.473989645885470526e-09
4.600460046004600123e+00,2.964842113278244540e+00,4.473803724601985450e-09
4.700470047004699836e+00,3.446667033200037089e+00,4.485827516539908174e-09
4.800480048004800437e+00,4.000128586866153135e+00,4.508432409993955889e-09
4.900490049004900150e+00,4.630660473368380714e+00,4.540278932142247602e-09
5.000500050004999864e+00,5.348671760944624154e+00,4.580220286104180711e-09
5.100510051005100465e+00,6.167174463785951133e+00,4.627482188143308603e-09
5.200520052005200178e+00,7.096790790497164103e+00,4.681351681876223275e-09
5.300530053005299891e+00,8.145753144096847365e+00,4.741177138272563611e-09
5.400540054005400492e+00,9.319904122017355519e+00,4.806368255655009586e-09
5.500550055005500205e+00,1.062269651610476551e+01,4.876396059699284753e-09
5.600560056005599918e+00,1.205519331261895033e+01,4.950792903434155412e-09
5.700570057005700519e+00,1.361606769223354618e+01,5.029152467241429782e-09
5.800580058005800232e+00,1.530160303003590272e+01,5.111129758855960487e-09
5.900590059005899946e+00,1.710949979832676249e+01,5.196489837437572950e-09
6.000600060006000547e+00,1.902881373097127948e+01,5.285124976267356895e-09
6.100610061006100260e+00,2.103524100159015475e+01,5.376899969281854182e-09
6.200620062006199973e+00,2.310458593156385376e+01,5.471693104293591717e-09
6.300630063006300574e+00,2.521291907009873512e+01,5.569397211964577942e-09
6.400640064006400287e+00,2.733657719422698307e+01,5.669919665806295395e-09
6.500650065006500000e+00,2.945216330880673894e+01,5.773182382179712283e-09
6.600660066006600601e+00,3.153654664652203365e+01,5.879121820295273392e-09
6.700670067006700314e+00,3.356686266788272377e+01,5.987688982212903389e-09
6.800680068006800028e+00,3.552051306122463359e+01,6.098849412842005998e-09
6.900690069006900629e+00,3.737516574270944147e+01,6.212583199941468960e-09
7.000700070007000342e+00,3.910905096408144743e+01,6.328884597866339293e-09
7.100710071007100055e+00,4.071480152557885646e+01,6.447748413381956825e-09
7.200720072007200656e+00,4.219232841000133050e+01,6.569182037348060862e-09
7.300730073007300369e+00,4.354038907447208118e+01,6.693201656088241747e-09
7.400740074007400082e+00,4.475986009453707481e+01,6.819825753489049377e-09
7.500750075007500683e+00,4.585373716416498269e+01,6.949075110999992382e-09
7.600760076007600397e+00,4.682713509574718103e+01,7.080972807633534814e-09
7.700770077007700110e+00,4.768728782009779366e+01,7.215544219965099456e-09
7.800780078007800711e+00,4.844354838645367067e+01,7.352817022133069475e-09
7.900790079007900424e+00,4.910738896247433871e+01,7.492821185838777671e-09
8.000800080008000137e+00,4.969183702471937636e+01,7.635589498761420636e-09
8.100810081008100738e+00,5.020495863942282000e+01,7.781166954818747052e-09
8.200820082008199563e+00,5.065185782637793466e+01,7.929604729620332138e-09
8.300830083008300164e+00,5.103796960274871708e+01,8.080953335071837291e-09
8.400840084008400765e+00,5.136907655516388616e+01,8.235262582443495117e-09
8.500850085008499590e+00,5.165130883971689713e+01,8.392581582370134249e-09
8.600860086008600192e+00,5.189114418196596290e+01,8.552958744851171075e-09
8.700870087008700793e+00,5.209540787693403274e+01,8.716441779250604774e-09
8.800880088008799618e+00,5.227127278910877095e+01,8.883077694297020625e-09
8.900890089008900219e+00,5.242570820859032921e+01,9.052915632258756429e-09
9.000900090009000820e+00,5.256095577272306230e+01,9.226022041261707628e-09
9.100910091009099645e+00,5.267778384919357393e+01,9.402461123225446705e-09
9.200920092009200246e+00,5.277734662513285002e+01,9.582296375725479552e-09
9.300930093009300847e+00,5.286106362079390664e+01,9.765591899984123269e-09
9.400940094009399672e+00,5.293061968955176866e+01,9.952412400870519401e-09
9.500950095009500274e+00,5.298796501790351243e+01,1.014282318690063725e-08
9.600960096009600875e+00,5.303531512546823024e+01,1.033689017023725732e-08
9.700970097009699700e+00,5.307515086498702317e+01,1.053467986668997960e-08
9.800980098009800301e+00,5.311021842232305090e+01,1.073625939571524012e-08
9.900990099009900902e+00,5.314305536289482745e+01,1.094169753254689441e-08
1.000100010000999973e+01,5.317304897411229092e+01,1.115107045803800040e-08
1.010101010101010033e+01,5.319958413173026912e+01,1.136445470013294719e-08
1.020102010201020093e+01,5.322239150518869621e+01,1.158192758881845289e-08
1.030103010301029975e+01,5.324136831789287072e+01,1.180356772585968479e-08
1.040104010401040036e+01,5.325657834721349104e+01,1.202945498480026756e-08
1.050105010501050096e+01,5.326825192448658441e+01,1.225967051096227008e-08
1.060106010601059978e+01,5.327678593501357796e+01,1.249429672144620374e-08
1.070107010701070038e+01,5.328274381806124893e+01,1.273341730513104728e-08
1.080108010801080098e+01,5.328685556686176028e+01,1.297711722267421203e-08
1.090109010901089981e+01,5.329001772861263220e+01,1.322548270651156180e-08
1.100110011001100041e+01,5.329329340447676344e+01,1.347860126085741943e-08
