# t, x, y
0.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00
1.000100010001000149e-02,5.047277327089081389e+00,7.001143608622819592e+00
2.000200020002000298e-02,5.095316308704431307e+00,7.002361298995985806e+00
3.000300030003000273e-02,5.144128887048972310e+00,7.003652833564443014e+00
4.000400040004000596e-02,5.193727287335580201e+00,7.005017961082224964e+00
5.000500050005000918e-02,5.244123734151591165e+00,7.006456434492819518e+00
6.000600060006000547e-02,5.295330645272942505e+00,7.007968002053450718e+00
7.000700070007001563e-02,5.347360662736398318e+00,7.009552405624080329e+00
8.000800080008001192e-02,5.400226652839543284e+00,7.011209380667409619e+00
9.000900090009000820e-02,5.453941706140788881e+00,7.012938656248880243e+00
1.000100010001000184e-01,5.508519137459368054e+00,7.014739955036672470e+00
1.100110011001100146e-01,5.563972485875337881e+00,7.016612993301707846e+00
1.200120012001200109e-01,5.620315514729581352e+00,7.018557480917644753e+00
1.300130013001300211e-01,5.677562211623801147e+00,7.020573121360884628e+00
1.400140014001400313e-01,5.735726788420526745e+00,7.022659611710563965e+00
1.500150015001500137e-01,5.794823681243109981e+00,7.024816642648563203e+00
1.600160016001600238e-01,5.854867550475727711e+00,7.027043898459498728e+00
1.700170017001700340e-01,5.915873280763380038e+00,7.029341057030729978e+00
1.800180018001800164e-01,5.977855981011888531e+00,7.031707789852351453e+00
1.900190019001900266e-01,6.040830984387901559e+00,7.034143762017201595e+00
2.000200020002000367e-01,6.104813848318890734e+00,7.036648632220856570e+00
2.100210021002100191e-01,6.169820419088837937e+00,7.039222055075656570e+00
2.200220022002200293e-01,6.235867014208061221e+00,7.041863695351169739e+00
2.300230023002300395e-01,6.302969890130218467e+00,7.044573212159300546e+00
2.400240024002400219e-01,6.371145548950263304e+00,7.047350259264375083e+00
2.500250025002500598e-01,6.440410790403378272e+00,7.050194486235050739e+00
2.600260026002600422e-01,6.510782711864968597e+00,7.053105538444308209e+00
