# t, x, y
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.000700070007000175e-02,1.108806698123424805e+00,7.915689066859969980e-01
1.400140014001400035e-01,1.240362474889203259e+00,6.337610258992403267e-01
2.100210021002100191e-01,1.396124460208532536e+00,5.144503707353088595e-01
2.800280028002800070e-01,1.578115969495362370e+00,4.239741462616973267e-01
3.500350035003499949e-01,1.788908261629959640e+00,3.549647326845157269e-01
4.200420042004200383e-01,2.031602618262303928e+00,3.019402588987022407e-01
4.900490049004900261e-01,2.309818370018673406e+00,2.608730234607585796e-01
5.600560056005600140e-01,2.627686287674329879e+00,2.288088013651633501e-01
6.300630063006300574e-01,2.989842781545173800e+00,2.035882547064516157e-01
7.000700070006999898e-01,3.401423870250903203e+00,1.836175436536254535e-01
7.700770077007700332e-01,3.868048459252714455e+00,1.677199060397870367e-01
8.400840084008400765e-01,4.395792494319137766e+00,1.550150947927740608e-01
9.100910091009100089e-01,4.991139789706568131e+00,1.448423436098686123e-01
9.800980098009800523e-01,5.660913080500644234e+00,1.366993946667452442e-01
1.050105010501050096e+00,6.412167083420321489e+00,1.302023020920156371e-01
1.120112011201120028e+00,7.252051953735374923e+00,1.250541837482240237e-01
1.190119011901189960e+00,8.187624246309679776e+00,1.210240642698962032e-01
1.260126012601260115e+00,9.225620617645361676e+00,1.179302458294501366e-01
1.330133013301330047e+00,1.037217617020412064e+01,1.156290928020871495e-01
1.400140014001399980e+00,1.163249597646007594e+01,1.140057153201849416e-01
1.470147014701470134e+00,1.301050828766966916e+01,1.129680543475295729e-01
1.540154015401540066e+00,1.450844307677011180e+01,1.124413421691957266e-01
1.610161016101609999e+00,1.612649533447195438e+01,1.123649818034938158e-01
1.680168016801680153e+00,1.786240327323746868e+01,1.126892575331023411e-01
1.750175017501750085e+00,1.971118826966632653e+01,1.133733860506296182e-01
1.820182018201820018e+00,2.166491715716812294e+01,1.143838819656881611e-01
1.890189018901889950e+00,2.371264444340176780e+01,1.156929975973203933e-01
1.960196019601960105e+00,2.584049735907489875e+01,1.172779877159030454e-01
2.030203020302030037e+00,2.803181796807222170e+01,1.191202149232475915e-01
2.100210021002100191e+00,3.026788020400593382e+01,1.212043586067269862e-01
2.170217021702169902e+00,3.252826489552227684e+01,1.235181194102291380e-01
2.240224022402240056e+00,3.479150204310695216e+01,1.260517637752729680e-01
2.310231023102310211e+00,3.703595386207360463e+01,1.287977655204493588e-01
2.380238023802379921e+00,3.924108952665762473e+01,1.317504155093495721e-01
2.450245024502450075e+00,4.138757006880648248e+01,1.349057904194707613e-01
2.520252025202520230e+00,4.345794002089657937e+01,1.382615296755856926e-01
2.590259025902589940e+00,4.543755181750724859e+01,1.418166616723568196e-01
2.660266026602660094e+00,4.731460722279151554e+01,1.455714170034658750e-01
2.730273027302730249e+00,4.908030174564779458e+01,1.495271125737320239e-01
2.800280028002799959e+00,5.072881184834473345e+01,1.536861418003679924e-01
