,t,x,y,z
0,0.0,0.0001,0.1,0.0
1,0.01,0.01012224146133398,0.09897642412487193,-0.015918763657641315
2,0.02,0.020182968469790202,0.09790538531167449,-0.03166992500654468
3,0.03,0.030277157105905766,0.0967894215804901,-0.0472460928227466
4,0.04,0.04039933037041994,0.09563106143276219,-0.06264027991067654
5,0.05,0.05054354636438145,0.09443281714122387,-0.07784590383510111
6,0.06,0.06070339643721387,0.09319718200882939,-0.09285678510537808
7,0.07,0.07087198356266693,0.09192661746160406,-0.10766713952808579
8,0.08,0.08104191875984465,0.0906235470478526,-0.1222715736698324
9,0.09,0.09120532839923128,0.08929033958294905,-0.1366650719882129
10,0.1,0.10135385422975496,0.08792930787110234,-0.15084299591040318
11,0.11,0.11147865799727899,0.08654270696398646,-0.16480108081021663
12,0.12,0.12157044261475101,0.08513271691868453,-0.17853541086886773
13,0.13,0.13161945229388314,0.08370144002250253,-0.19204241775134392
14,0.14,0.14161555294453337,0.08225088846106429,-0.20531885186055482
15,0.15,0.15154824227226105,0.08078298201034001,-0.21836177765850406
16,0.16,0.16140665536848867,0.0792995475830066,-0.231168571825484
17,0.17,0.17117965526178666,0.07780230788401628,-0.24373688945477348
18,0.18,0.1808558402546688,0.07629287696625593,-0.25606465972955866
19,0.19,0.19042368994610184,0.07477275755366217,-0.26815004925483893
20,0.2,0.199871602095709,0.07324333929766644,-0.2799914513405639
21,0.21,0.20918789462691809,0.07170589878209373,-0.2915874854991698
22,0.22,0.21836093422936484,0.07016159719200155,-0.3029369645891114
23,0.23,0.2273791853244113,0.06861147576776769,-0.3140388828330584
24,0.24,0.23623135324069516,0.06705646339458293,-0.3248923834850221
25,0.25,0.24490645591057733,0.06549737829225331,-0.33549674139849706
26,0.26,0.25339382387077586,0.06393492801524467,-0.34585136302631114
27,0.27,0.2616832008355768,0.06236971430075772,-0.35595576385593475
28,0.28,0.26976485297568525,0.0608022344333823,-0.3658095465887113
29,0.29,0.2776296306303854,0.05923289291399984,-0.3754123837506822
30,0.3,0.28526905126298246,0.057662009618369106,-0.38476399702137243
31,0.31,0.2926752994608015,0.056089819797126184,-0.39386415723379015
32,0.32,0.2998412670486072,0.054516481128458666,-0.4027126738095158
33,0.33,0.3067606581550294,0.05294208508014194,-0.4113093717443318
34,0.34,0.3134279763135386,0.05136666515693904,-0.4196540875910825
35,0.35000000000000003,0.3198385592937307,0.04979021234549587,-0.42774665393204064
36,0.36,0.3259885798651965,0.0482126753165992,-0.43558689913180654
37,0.37,0.33187504111706834,0.04663396366703019,-0.44317464645146787
38,0.38,0.33749578715823914,0.045053968781208015,-0.4505097006511179
39,0.39,0.34284951524168084,0.04347256263633872,-0.4575918436732659
40,0.4,0.3479356773142095,0.04188961955532379,-0.4644208390257229
41,0.41000000000000003,0.352754471106459,0.04030501916202791,-0.47099643174870315
42,0.42,0.3573068401328811,0.03871864638127895,-0.47731834841482534
43,0.43,0.3615944628710339,0.037130393164450604,-0.48338629796770355
44,0.44,0.36561962660604697,0.03554018324450191,-0.48919997506048407
45,0.45,0.3693852390213769,0.033947970825047816,-0.4947590550815143
46,0.46,0.37289471437066435,0.032353746784020816,-0.500063216097204
47,0.47000000000000003,0.3761519456673403,0.030757541948720806,-0.5051121423971618
48,0.48,0.3791613046846262,0.02915942709581493,-0.5099055244941956
49,0.49,0.381927565508079,0.027559518948204735,-0.5144430682466768
50,0.5,0.38445582424687397,0.025957990596184095,-0.518724493464166
51,0.51,0.38675146086621487,0.024355067535738368,-0.5227495524796668
52,0.52,0.38882006517317924,0.022751029484122522,-0.5265180480111896
53,0.53,0.3906674367822757,0.021146210381693026,-0.5300298331679069
54,0.54,0.39229956979365344,0.019540998877064536,-0.5332848136983637
55,0.55,0.39372253867486295,0.01793584358244186,-0.5362829602262065
56,0.56,0.3949424975658899,0.01633125031201464,-0.5390243156844688
57,0.5700000000000001,0.3959656304972635,0.014727778565507482,-0.5415090163493901
58,0.58,0.396798143069932,0.013126041533656261,-0.543737293759627
59,0.59,0.3974462434329533,0.0115267053878483,-0.54570947915019
60,0.6,0.3979160901505209,0.009930489272649608,-0.5474260101650097
61,0.61,0.39821378444636374,0.008338160921597731,-0.5488874433970761
62,0.62,0.3983453472050716,0.00675053261787157,-0.550094468309573
63,0.63,0.39831671836729116,0.005168461121770481,-0.5510479074642038
64,0.64,0.39813373797995505,0.0035928451486172117,-0.551748721199812
65,0.65,0.39780212794476605,0.0020246226249380096,-0.5521980137380391
66,0.66,0.3973274901492369,0.00046476517823203944,-0.5523970454532103
67,0.67,0.39671530170713176,-0.0010857236992601567,-0.5523472365788242
68,0.68,0.39597091164240655,-0.0026258106870045337,-0.5520501691381214
69,0.6900000000000001,0.3950995334182473,-0.0041544360406481915,-0.5515075898623862
70,0.7000000000000001,0.3941062471075387,-0.005670518694892414,-0.5507214181636505
71,0.71,0.3929959991249627,-0.0071729590779504165,-0.5496937499984614
72,0.72,0.3917736028503785,-0.008660640624237579,-0.5484268583576308
73,0.73,0.39044373922835574,-0.010132433720203416,-0.5469231937648942
74,0.74,0.38901096149559505,-0.011587199844964684,-0.5451853881168393
75,0.75,0.3874796989436127,-0.013023795459630078,-0.5432162576805772
76,0.76,0.38585425784739363,-0.014441072665426297,-0.5410188029864426
77,0.77,0.38413882751871,-0.015837883365963926,-0.5385962069156452
78,0.78,0.382337484223144,-0.01721308164560425,-0.5359518345971251
79,0.79,0.38045419984101386,-0.018565529292603074,-0.5330892342402465
80,0.8,0.3784928427500049,-0.019894096379957867,-0.5300121371292286
81,0.81,0.3764571816857506,-0.02119766307988317,-0.5267244555898377
82,0.8200000000000001,0.37435089455012743,-0.02247512343744702,-0.5232302782222876
83,0.8300000000000001,0.3721775730117842,-0.023725387831636968,-0.5195338687331738
