,t,x,y,z
0,0.0,0.0001,0.1,0.0
1,0.1,0.09337946208926859,0.08779828394375593,-0.14706659424521595
2,0.2,0.1652686242975444,0.07209244155254617,-0.26550065667315753
3,0.30000000000000004,0.21457885935737941,0.05372142273039561,-0.35241700085627753
4,0.4,0.24446000339580903,0.03397521869653776,-0.40675853666877754
5,0.5,0.25747722175934756,0.014301111686979723,-0.4296875849537534
6,0.6000000000000001,0.2568325889890584,-0.0038951380487705846,-0.42451363268514464
7,0.7000000000000001,0.24649509096396519,-0.019363701644761446,-0.3963908068506584
8,0.8,0.23090130279861817,-0.031098610415392542,-0.3518830439991775
9,0.9,0.21462842958530148,-0.03840363396473593,-0.298438810917726
10,1.0,0.20210045542920846,-0.04093152382892563,-0.2438190309193436
11,1.1,0.19470042364726833,-0.03905756305120901,-0.19325262895382175
12,1.2000000000000002,0.19292596035529908,-0.03349238583312542,-0.15062906246405508
13,1.3,0.1989691031559975,-0.02482883996789134,-0.1206932102381537
14,1.4000000000000001,0.2140528910823949,-0.013849914844790529,-0.1068024095385559
15,1.5,0.2387052564613867,-0.0014546307615945094,-0.11077750314847706
16,1.6,0.2722862385695864,0.011420457247471868,-0.13289294300459067
17,1.7000000000000002,0.310540021269077,0.023719304280464433,-0.17189260906009832
18,1.8,0.350250818336216,0.03425434097280474,-0.22482787458723708
19,1.9000000000000001,0.388726833613901,0.04200863440598245,-0.28721929908729393
20,2.0,0.4230206171764045,0.0462655791672442,-0.353537898802917
21,2.1,0.44832775373542927,0.04677768891687249,-0.41919318347119544
22,2.2,0.4636134031709571,0.04339915515534492,-0.47967083387047205
23,2.3000000000000003,0.4687654914319369,0.03619883558186489,-0.5292818191108374
24,2.4000000000000004,0.4636550578020208,0.025731984230612147,-0.5632165272034617
25,2.5,0.44883912788174457,0.012933206682693583,-0.578153525479538
26,2.6,0.4259652543108176,-0.0009904933014572976,-0.5726627303485647
27,2.7,0.3975698632939686,-0.014662055474174885,-0.5474249090173317
28,2.8000000000000003,0.3646230432360768,-0.0267789188627068,-0.5051948344709982
29,2.9000000000000004,0.32940227453137944,-0.036352949371928206,-0.45031170361629996
30,3.0,0.29495899242099005,-0.042649765035218765,-0.3881582402107662
31,3.1,0.2637608026658403,-0.045535399665684095,-0.3224675132528871
32,3.2,0.23666414188497759,-0.044976912996788625,-0.256742265030258
33,3.3000000000000003,0.21444472788461788,-0.04105380882455925,-0.1963049382270372
34,3.4000000000000004,0.19939367789924167,-0.034141602332920705,-0.14573985622645558
35,3.5,0.19310627735923527,-0.02479377116309627,-0.10860121345085062
36,3.6,0.1960801539480772,-0.01371377010359665,-0.08723168573423273
37,3.7,0.20800512566637303,-0.0017136914700803087,-0.08263788844690144
38,3.8000000000000003,0.22805178242075738,0.010358149141770086,-0.0944643277731795
39,3.9000000000000004,0.2548379640442907,0.02170310098571559,-0.12109753161171635
40,4.0,0.28534203954096354,0.03159139922213836,-0.15985711477618578
41,4.1000000000000005,0.3168714444318551,0.03951526888154792,-0.21041681629920822
42,4.2,0.34844668954280344,0.04486170259469777,-0.27167017481747785
43,4.3,0.3772646722019527,0.046881783644729245,-0.33829697960702393
44,4.4,0.40096091598887,0.045173225364068766,-0.4044338076301283
45,4.5,0.4169685643889479,0.03970009613582184,-0.46427764215823436
46,4.6000000000000005,0.4237490557994398,0.030737281382004964,-0.512594495010903
47,4.7,0.42159951478324226,0.018959106991938993,-0.5452291299204027
48,4.800000000000001,0.41145793950218157,0.005382707179052969,-0.5596283229803514
49,4.9,0.3947398165118751,-0.008767350954301515,-0.5551632819485174
50,5.0,0.37239899996873,-0.022270459377497755,-0.5331709190533209
51,5.1000000000000005,0.34129267623205245,-0.034325475162984,-0.4917792333712836
52,5.2,0.30024628544768683,-0.04428456635661028,-0.4303244012673188
53,5.300000000000001,0.25342544225503766,-0.05134059174968127,-0.35403037492747536
54,5.4,0.20144248119805827,-0.05502810759758157,-0.26880922446635425
55,5.5,0.14713269673337967,-0.0553976835180912,-0.1804591411589732
56,5.6000000000000005,0.09569091540863386,-0.05262830395787197,-0.09418210244982386
57,5.7,0.04931787132567614,-0.04679636975915226,-0.014653613260277263
58,5.800000000000001,0.0023421298330967193,-0.038906594203256324,0.05450340999691625
59,5.9,-0.040189361909289116,-0.029933288172028834,0.11161257024104089
60,6.0,-0.07812704235083696,-0.02071086342834296,0.15645622577715082
61,6.1000000000000005,-0.10700887687541398,-0.01176968994493464,0.18649961012793914
62,6.2,-0.1248111897657647,-0.0034923867434572247,0.200069018725506
63,6.300000000000001,-0.13410348907992736,0.003634947238410892,0.19966774058119863
64,6.4,-0.1373211089464949,0.009185128939119446,0.18834714040154957
65,6.5,-0.1368826449255612,0.012840027694053242,0.16953530210040788
66,6.6000000000000005,-0.13513029307649013,0.014412504321728522,0.14682423742483558
67,6.7,-0.13421183649687135,0.013856028674540702,0.12374744120865126
68,6.800000000000001,-0.13597425652698128,0.01126335089868125,0.10356609145463593
69,6.9,-0.14187719483187958,0.006855031114810261,0.08907942467993193
70,7.0,-0.15292988028960938,0.0009593323394591494,0.0824723074534744
71,7.1000000000000005,-0.1713799644428873,-0.006068597531223266,0.0876301142421578
72,7.2,-0.19874477065869237,-0.013724178538816828,0.10749634674047269
73,7.300000000000001,-0.23381412326105333,-0.021377813902877546,0.1415758031777903
74,7.4,-0.27270243368717434,-0.028292821298674838,0.18837119845191827
75,7.5,-0.3118999584852052,-0.03358717535442292,0.24521060800135724
76,7.6000000000000005,-0.3498897639277033,-0.03652656133709731,0.308309743657941
77,7.7,-0.3829448802906906,-0.036597814959939044,0.3731975887942221
78,7.800000000000001,-0.4087433697197331,-0.033429242500575045,0.43499285063671916
79,7.9,-0.42708633248197125,-0.027054547567536124,0.48885762386446424
80,8.0,-0.43778838450066554,-0.017933637497939397,0.53067424556456
81,8.1,-0.43648772726264506,-0.00674853172310369,0.5536378645936461
82,8.200000000000001,-0.42108212759450336,0.005621318389175772,0.5526612332583865
83,8.3,-0.39497980092821594,0.018002678319011048,0.5283931666559682
84,8.4,-0.36244419987893095,0.029080060256020304,0.48337917654039103
85,8.5,-0.3267032321014543,0.03757907826780854,0.4220349972525726
86,8.6,-0.2890638361069821,0.04261888459384567,0.35018880881973097
87,8.700000000000001,-0.2533492952001441,0.043733724229367936,0.2742872491818471
88,8.8,-0.22222782618686912,0.040769417834456846,0.20084043382053027
89,8.9,-0.19660747678324791,0.03403359829210949,0.13581507424211417
90,9.0,-0.1776199993482116,0.024252933711734526,0.08395583666336276
91,9.1,-0.17173292236095686,0.012325136179881681,0.05280268208231578
92,9.200000000000001,-0.18362231014845526,-0.0008457451141456323,0.04790219455677794
93,9.3,-0.21169511697997193,-0.014302761640723987,0.06869027334987504
94,9.4,-0.25241949583819645,-0.027051764933907835,0.11313706648853052
95,9.5,-0.29945089252451235,-0.03792855707614024,0.17769483148738968
96,9.600000000000001,-0.3486895138986463,-0.04573568854964339,0.2571712218181746
97,9.700000000000001,-0.394514106405506,-0.04951749153095455,0.3450633127350426
98,9.8,-0.4327849575621641,-0.04849647425159201,0.4339304066707176
99,9.9,-0.4623592795617652,-0.042493080355456334,0.5160535979728045
100,10.0,-0.48140078051242846,-0.031905547387311925,0.5844247479496856
101,10.100000000000001,-0.48194433122892394,-0.017564232141901302,0.6281917160374741
102,10.200000000000001,-0.4610807411982159,-0.0006045032620217876,0.6388636927040201
103,10.3,-0.4225950388095164,0.017428116184585896,0.6157529096620737
104,10.4,-0.3714644585615997,0.03475022338739772,0.5608141614952863
105,10.5,-0.31310692559993697,0.04946317156821174,0.47874785585223545
106,10.600000000000001,-0.24913690223397747,0.06008263663044807,0.3766384501970811
107,10.700000000000001,-0.1828922638444665,0.06568527976382124,0.26293751484051925
108,10.8,-0.11422573605039543,0.06616342342508467,0.14637609786326924
109,10.9,-0.04798173737533522,0.061984606865265926,0.03473380954938417
