n,t,x,y,z
0,0.0,0.0001,0.1,0.0
1,0.1,0.10010175822060928,0.08786000951992455,-0.14961932523748678
2,0.2,0.19130438073106848,0.07285444559309714,-0.2756237345618869
3,0.30000000000000004,0.26787474637784925,0.0565892501680424,-0.3759818852924105
4,0.4,0.32226805404094927,0.039915945752621786,-0.4507156368373022
5,0.5,0.35584512445522126,0.023150377649430443,-0.5006315372927757
6,0.6000000000000001,0.36937878858396755,0.006870330715904803,-0.5243071692442516
7,0.7000000000000001,0.3644336533481308,-0.008325082579976736,-0.5213911132060742
8,0.8,0.3473686754460143,-0.02168795270345479,-0.49538516697312207
9,0.9,0.32353513496706154,-0.03241702197736278,-0.45086874662543724
10,1.0,0.2974629453758804,-0.039842029448008943,-0.39337684175412946
11,1.1,0.27226748352583485,-0.043084210997066455,-0.3282767013774537
12,1.2000000000000002,0.2501899674759211,-0.041715646681549506,-0.2619894215732039
13,1.3,0.23308089903591153,-0.036238248475230855,-0.20143456892936407
14,1.4000000000000001,0.2227037786134023,-0.027518422365178662,-0.15211179940433345
15,1.5,0.22062915574270472,-0.016550213516759345,-0.11778756953389254
16,1.6,0.23049476221544207,-0.004076208493981889,-0.1025743316334991
17,1.7000000000000002,0.2546482920580718,0.009246867872306833,-0.10940606684898507
18,1.8,0.2892841993214173,0.022440174655516124,-0.13783286773346604
19,1.9000000000000001,0.3289303913284182,0.03431526644596026,-0.1857263720492739
20,2.0,0.36988811307617003,0.04370376176597751,-0.24917050909536811
21,2.1,0.4080405350358237,0.04922764746938233,-0.3238314819043027
22,2.2,0.4384587316184044,0.049717687246993415,-0.40330548724640325
23,2.3000000000000003,0.45956465316666617,0.04505383298545204,-0.4793179578732342
24,2.4000000000000004,0.4703323414435998,0.03575435900667282,-0.5443121795515403
25,2.5,0.47043206206728333,0.022830099655521265,-0.592304927040428
26,2.6,0.4574188244455377,0.007253039919154508,-0.6166415731383209
27,2.7,0.43090973872859256,-0.009748669074110816,-0.6125647840669544
28,2.8000000000000003,0.3950149134256846,-0.026399151763842284,-0.5805605079075545
29,2.9000000000000004,0.35353900657181686,-0.040968649011417155,-0.5238718120386516
30,3.0,0.30905768362555874,-0.05212981246802805,-0.44801551552376
31,3.1,0.2654153234552181,-0.058372327685395305,-0.3589562275347931
32,3.2,0.22414279936982326,-0.05879251088480858,-0.26466094214391395
33,3.3000000000000003,0.1858604609106353,-0.05395213782989443,-0.1741268489594112
34,3.4000000000000004,0.15300403044528157,-0.044933855639468376,-0.09458384521017137
