,x,y,z
0,0.0001,0.1,0.0
1,0.010139913817420325,0.09897526370735822,-0.015910180375560894
2,0.020224732912001612,0.09790115196241737,-0.03163619377079384
3,0.03034926189275695,0.0967807730552415,-0.04717165628394946
4,0.04050918726197515,0.09561719816230789,-0.0625107196891209
5,0.050700486689640674,0.09441346083949022,-0.07764806182283769
6,0.06091895075335523,0.09317255344122602,-0.09257887719485962
7,0.07115322481900771,0.09189740548218707,-0.10729886518771407
8,0.08135388412938536,0.09059062750476625,-0.12180420189404925
9,0.09150502429235105,0.08925445211067641,-0.13609146995365495
10,0.10160390506413311,0.0878910480346558,-0.15015762462292145
11,0.11164694878905009,0.08650254752357603,-0.16399998424799136
12,0.12162763160664757,0.08509101758422295,-0.17761622164659177
13,0.13154167208591486,0.0836584579140197,-0.19100434798909854
14,0.14138592197756025,0.08220681506628022,-0.20416270280770213
15,0.15116242382767453,0.0807380142702038,-0.21708994496063513
16,0.1608663674619035,0.07925395318455587,-0.22978504806808334
17,0.17048141842090053,0.07775639931432339,-0.24224728643059976
18,0.17999096153175706,0.0762469296519259,-0.25447620596461434
19,0.18938054562021617,0.07472693388355207,-0.266471591672389
20,0.19864579640452934,0.073197689232955,-0.27823344139698214
21,0.2077828993881677,0.07166041481868889,-0.2897619520275783
22,0.21678981402559336,0.07011627641914885,-0.3010575087723884
23,0.22566288016915745,0.06856638887230077,-0.3121206767444853
24,0.23439973511037426,0.06701180985919165,-0.32295219022698324
25,0.24300039252364514,0.06545355144603573,-0.33355271862116787
26,0.2514380964267321,0.06389190148822875,-0.3439030682137227
27,0.25967895177241934,0.06232700422226351,-0.3539838399697268
28,0.26771925601961916,0.06075960313239038,-0.36379636506751717
29,0.2755530191699809,0.0591903883467928,-0.3733420657540318
30,0.28315377850296336,0.05761985955231246,-0.38262249375632507
31,0.2904661071156442,0.0560481109099437,-0.3916392431937289
32,0.29745252083081025,0.05447466076534311,-0.40039386246560915
33,0.30413574073298677,0.05289898963619311,-0.4088878012642061
34,0.310529341577715,0.05132079192987253,-0.4171224365501329
35,0.31664311064256623,0.04973984851381178,-0.4250990935780786
36,0.32248609767101283,0.04815602957778968,-0.4328190614796734
37,0.32806583377950155,0.04656927540738303,-0.4402836055330125
38,0.33338945585304247,0.04497958772621202,-0.44749397810372377
39,0.338445071979333,0.04338697084855319,-0.4544514260170763
40,0.3432102879991215,0.04179116118788599,-0.46115716855887906
41,0.3477027560963025,0.04019191504404253,-0.4676123707437858
42,0.35193010316761647,0.03858910315813813,-0.4738181615667506
43,0.3559010266599964,0.03698266731947691,-0.4797756471584395
44,0.3596247870475878,0.03537262861282547,-0.4854859232635435
45,0.36311063246225056,0.033759091554480966,-0.49095008838824583
46,0.3663563645476423,0.03214218662723054,-0.49616925389275335
47,0.3693672481012241,0.030522031538855486,-0.5011445426643353
48,0.3721536612369629,0.028898813626176086,-0.5058770928072684
49,0.37472452369093523,0.027272806231089228,-0.5103680723331723
50,0.37708905876077686,0.025644352343304956,-0.5146190762298591
51,0.3792237350234101,0.024013913648788226,-0.5186080011239858
52,0.38111252577992394,0.022381906158118234,-0.5223177103140525
53,0.38276333636454934,0.02074872729930409,-0.5257486841387207
54,0.38418576449154274,0.019114840087646908,-0.5289026510477202
55,0.38538948741993556,0.01748077650364677,-0.5317814083327971
56,0.3863837325442663,0.015847138067309058,-0.534386826992265
57,0.3871773589983012,0.014214586713864552,-0.5367208654702519
58,0.38777904052717876,0.012583837435875125,-0.5387855850488638
59,0.3881972358605438,0.010955657573224096,-0.5405831510122964
60,0.38843996196106056,0.009330863263819331,-0.5421158362290058
61,0.3885149421345213,0.007710312254798346,-0.5433860298740075
62,0.38842967865795075,0.006094896241911176,-0.5443962493116413
63,0.3881914421640059,0.00448554009481077,-0.5451491409423804
64,0.3878072801555757,0.0028831980794224287,-0.5456474806972241
65,0.3872841423799123,0.0012888509163050137,-0.5458941773413815
66,0.3866287778843018,-0.0002965013384526262,-0.5458922809298113
67,0.3858477141678367,-0.0018718404499387703,-0.5456449837202272
68,0.3849472868888053,-0.0034361331545412054,-0.5451556189770155
69,0.38393366784660105,-0.004988334010911301,-0.5444276607260694
70,0.38281287404690073,-0.006527391714450426,-0.5434647278255411
71,0.38159077395983126,-0.00805225089925605,-0.5422705845110043
72,0.38027307108952824,-0.009561853300161518,-0.5408491381322944
73,0.3788649435326834,-0.011055143883061313,-0.5392044365962414
74,0.3773713558282179,-0.01253107707953318,-0.537340668862806
75,0.3757975144741104,-0.01398860372147652,-0.5352620295130505
76,0.3741344967892299,-0.015424886191221565,-0.5329534787667582
77,0.37237705733373516,-0.016837428832266018,-0.5304045489439507
78,0.3705304312631039,-0.018225043318973917,-0.5276192478318043
79,0.36860056516071094,-0.01958665524923511,-0.524602870127519
80,0.3665937730659878,-0.02092126803066344,-0.5213615686058356
81,0.36451589748318836,-0.022227863683632672,-0.5179011797661778
82,0.36237256111110827,-0.023505448912304536,-0.5142277233463302
83,0.36016571709921674,-0.024753063092877014,-0.5103473384275516
84,0.357895515190917,-0.025969826055910757,-0.5062662707504465
85,0.3555673372829305,-0.027154900810016768,-0.5019908587319354
86,0.3531865091228136,-0.028307475551270164,-0.4975275283575835
87,0.3507584437031524,-0.029426762147961305,-0.4928827919410111
88,0.3482887189176422,-0.030511993543964118,-0.4880632394587667
89,0.3457796825428032,-0.03156245555408881,-0.48307554280062787
90,0.3432350273735126,-0.03257746619843201,-0.4779264347716612
91,0.3406606049155865,-0.033556370727441366,-0.4726227053739393
92,0.338064434025706,-0.03449854157932413,-0.4671712017992793
93,0.33545703283548745,-0.03540333748624017,-0.4615788276004246
94,0.3328299532753926,-0.03627016504494172,-0.45585254638228134
95,0.3301736065340025,-0.037098606664619206,-0.4499993469502983
96,0.32748830777841603,-0.037888392258946114,-0.4440262283260499
97,0.32477835233434904,-0.03863928487031327,-0.43794018277697544
98,0.3220482597627353,-0.03935107615100676,-0.4317481898664209
99,0.31930246843769144,-0.0400235871963959,-0.42545721290491795
100,0.3165452700203902,-0.04065659394453765,-0.4190740229204015
101,0.3137792795910754,-0.04124629480139078,-0.4125971637424475
102,0.31100792701371893,-0.04178984916732453,-0.40602806902635286
103,0.30823607368620853,-0.04228667332595165,-0.39937354874850994
